iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-14.73416550643742,0.5986449447728761,0.6060062632152378,0.618254983202639,0.6058298127344754,0.5986449447728761,0.6227690588876511,0.6376645360864861,0.6367697793178965,0.6243640600838327,0.6164251778233959
2,-15.685691066086292,0.5994241581567284,0.6237469050089697,0.6410008546506523,0.6241348962972114,0.5746836780382305,0.6299939072096402,0.6418718060463241,0.6414314503641932,0.6355586791341582,0.615522634052407
3,-16.43108794093132,0.6175554086564572,0.6553521303934066,0.6595035538200257,0.6586245801721029,0.5046194478355698,0.6263131750269799,0.6457034579855223,0.6519794386439798,0.6606896897487373,0.5850274513454048
4,-16.615837961435318,0.6249800022465333,0.6415842817596784,0.6543981192005762,0.641255044067118,0.51044317435799,0.6195193827023926,0.6444690563535301,0.6448182833829601,0.661807999473437,0.5816224498831402
5,-16.635994613170624,0.6248850593742379,0.6438881756420858,0.6480622492479599,0.6385971219921469,0.5089219283759338,0.615001278515808,0.641982991927257,0.6439754980160032,0.6630523596027632,0.58135591688799
6,-16.643354058265686,0.626541994400934,0.6454346602065312,0.6458792506628315,0.6368914483323086,0.5054892716245979,0.611440922276779,0.6421382713852624,0.6440946239777889,0.6656247075016343,0.5798559991550661
7,-16.64363643527031,0.6270259877996792,0.6456914038924747,0.644917095836384,0.6360028857620968,0.5041256753927964,0.6096518850014405,0.641504161641526,0.6436582086286712,0.6663007938194271,0.5787460268604262
8,-16.646160453557968,0.626994882974005,0.6458110542716538,0.6461977259512843,0.6359540820557092,0.5020539276551437,0.6086526344707378,0.6406092982553939,0.6432298341276788,0.6661838688868261,0.5775019584794505
9,-16.64672464132309,0.6264672128810126,0.6456088773499536,0.6473873993648874,0.6363302295432377,0.5015789807489244,0.6084739802224965,0.6406758175357886,0.6432582186684128,0.6657434549137207,0.5770259168850632
10,-16.64795708656311,0.6260586268171003,0.6456972073947019,0.6482699731442364,0.6366120066850087,0.5014487486987038,0.6089771683185118,0.6410896155688077,0.643949759117312,0.6664005229275622,0.5769727849805368
11,-16.648872286081314,0.6258484264612174,0.6449225289060728,0.6489620461138732,0.6360888868968345,0.5019568379730283,0.6093370182374183,0.6412946361955894,0.6440637814180454,0.6668432098161878,0.5769056729918086
12,-16.649060606956482,0.625557335169087,0.6444036654714551,0.649409163030895,0.6356327370713831,0.5025056774589904,0.6095879990921553,0.6416722853451857,0.6442332600230639,0.6672906344239137,0.5770074568137618
13,-16.64909952878952,0.6253838100718633,0.6442596270813403,0.6495329862055446,0.6354434295728059,0.5026253776238816,0.6095030699607104,0.6417937957032869,0.6442839235119419,0.6675091356655342,0.5769956034471946
14,-16.649462342262268,0.625394103032656,0.6444318742056654,0.649332795508458,0.6353675279687948,0.5022583171800123,0.6091071601350542,0.6418427990845812,0.6444398515793859,0.6678369055743527,0.5767961128243378
15,-16.6503709256649,0.6250828341421072,0.6449975197233322,0.6484683567245649,0.6353929499023038,0.5018487424564664,0.6085164701827569,0.641519429037188,0.6445297545923686,0.6681350322633696,0.5767257635071851
16,-16.650491178035736,0.6248718236561227,0.6455067250822935,0.6474304541369286,0.6354040732221287,0.50173710995699,0.608121228470873,0.6411638447441199,0.6444988705731635,0.6681949668155749,0.5769357219151371
17,-16.650656431913376,0.624896662445301,0.6452869230344878,0.6479488540246229,0.6355039003992018,0.5019087869422643,0.6084215251168495,0.64122368146009,0.6444835250997525,0.6680303058067912,0.5769707576463227
18,-16.650656431913376,0.6248966624448444,0.6452869230346936,0.647948854024434,0.6355039003989686,0.5019087869422038,0.6084215251160572,0.6412236814601043,0.6444835250999449,0.6680303058065762,0.5769707576463269
