iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-17.39031167048961,0.5989274086924247,0.6039151319207154,0.6146190586017054,0.6135061053703109,0.6040416038788284,0.5989274086924247,0.616151018929109,0.6288565018167568,0.6370463859216917,0.628026185917841,0.6178567407293982,0.6169142497024169
2,-18.673154689371586,0.5987870138545935,0.6179142974595341,0.6380835632997033,0.6342634772394686,0.6189970613040783,0.575019244977697,0.6227217927773632,0.6361431400444278,0.6417906467973383,0.637523462912983,0.6297421270429009,0.6215238076015769
3,-19.62157580256462,0.6173105560414814,0.6478019200001923,0.6592295917261995,0.6534700258667431,0.6454003448085849,0.5283506770578758,0.622501470769631,0.6431882540825209,0.6593845258581099,0.6515945575826922,0.6492097170555787,0.6158909461060399
4,-19.853888630867004,0.642107458921654,0.6479799657155123,0.6537241821460223,0.6533491370316178,0.6492050494690411,0.49666125617650875,0.6148552876671601,0.6513352782779528,0.6434426327885234,0.656575190188537,0.6633648092003078,0.5947995716082661
5,-19.98850889503956,0.6387990275366708,0.6426281384841233,0.6520047012960919,0.6487450550037126,0.6424841773067435,0.5066399346575001,0.6136423789960681,0.6401375694177658,0.6497178626440262,0.646696004956985,0.660462783165456,0.5950880598967154
6,-19.99014638364315,0.6365522931429287,0.6423448290750849,0.6495762976296653,0.6469629304420137,0.6394179324635486,0.5098105989243233,0.6127940344407805,0.6413355767307712,0.6480105729438853,0.6462192367389588,0.6607511862662844,0.5961676420717837
7,-20.000653237104416,0.6378119097611331,0.6437209516295214,0.6492780418868997,0.6464131118297314,0.6395094789892107,0.5066046726048336,0.6113532748276106,0.6411362203609381,0.6482236012908964,0.6461361350610384,0.6625655574179912,0.5942291204334001
8,-20.005252718925476,0.6392666979872491,0.6457824309198138,0.6499113405623576,0.6470051658852248,0.6403576495608241,0.5026229858999406,0.6106329911504504,0.6416120713863989,0.6494021763922091,0.6468286520855915,0.6652117644038011,0.5934845477754827
9,-20.005291372537613,0.6392685149964457,0.6457865828817707,0.6499147849824477,0.647008531921455,0.6403607406897873,0.5026171773908867,0.6106329012892634,0.6416150548929418,0.6494057847259983,0.6468320297675669,0.6652153298716981,0.5934841794591934
10,-20.007900446653366,0.6389641522604405,0.6467018296907509,0.650432849213946,0.6479216201294706,0.6400218403383489,0.5021762812243368,0.6105357642458575,0.6428951052649353,0.6488361254825412,0.6462646282238977,0.6671364847301706,0.5940993807340975
11,-20.009406208992004,0.6391006667659574,0.6474761531279479,0.650457286686544,0.648546435496156,0.6396145334088666,0.5022855996526908,0.6097763086752207,0.6432622338576228,0.6489141852002592,0.6463628767399773,0.6681259797530269,0.5941510500507318
12,-20.010983496904373,0.6393334907634265,0.6478646350204058,0.6504870241672571,0.6490258129347618,0.6395291863643114,0.5024980316853384,0.6089551256239615,0.642842979891806,0.6490797111826542,0.64662499647219,0.6685999341331225,0.5936685887218309
13,-20.01112127304077,0.6400305445042349,0.649787310766687,0.6506607675250847,0.6512307156598075,0.6387528966122002,0.5036321773287962,0.6058530818575345,0.6418252702122619,0.6498510108076757,0.6476415705587213,0.6712231774979172,0.5919884948118019
14,-20.01113361120224,0.6400354961002642,0.6498125949665094,0.650657246615286,0.6512502285875279,0.6387549711734366,0.5036369294566777,0.6058290954867607,0.6418294707522936,0.6498510646076707,0.647646479192753,0.67126947490973,0.5919731266249514
