iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-1.9665170852094889,0.6,0.6,0.6,0.63,0.6,0.6,0.6,0.6,0.6,0.6
2,-1.9665170852094889,0.6,0.6,0.6,0.63,0.6,0.6,0.6,0.6,0.6,0.6
3,-2.508814714848995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.5891999999999995,0.6129599999999995,0.6129599999999995,0.5931599999999999,0.5439599999999996
4,-2.508814714848995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.5891999999999995,0.6129599999999995,0.6129599999999995,0.5931599999999999,0.5439599999999996
5,-2.508814714848995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.5891999999999995,0.6129599999999995,0.6129599999999995,0.5931599999999999,0.5439599999999996
6,-2.508814714848995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.6129599999999995,0.5891999999999995,0.6129599999999995,0.6129599999999995,0.5931599999999999,0.5439599999999996
7,-3.0454213619232178,0.6006013439999991,0.6291133439999994,0.6093133439999989,0.6291133439999992,0.6053533439999994,0.5757388799999987,0.6291133439999992,0.560113343999999,0.5846346239999993,0.5777917439999996
8,-3.0454213619232178,0.6006013439999991,0.6291133439999994,0.6093133439999989,0.6291133439999992,0.6053533439999994,0.5757388799999987,0.6291133439999992,0.560113343999999,0.5846346239999993,0.5777917439999996
9,-3.9565038196742535,0.6009380966399989,0.5764168166399988,0.6145288166399985,0.645416816639999,0.6083512166399991,0.562152652799998,0.645416816639999,0.6097768166399988,0.5760300134399994,0.5653551206399992
10,-3.9565038196742535,0.6009380966399989,0.5764168166399988,0.6145288166399985,0.645416816639999,0.6083512166399991,0.562152652799998,0.645416816639999,0.6097768166399988,0.5760300134399994,0.5653551206399992
11,-3.9565038196742535,0.6009380966399989,0.5764168166399988,0.6145288166399985,0.645416816639999,0.6083512166399991,0.562152652799998,0.645416816639999,0.6097768166399988,0.5760300134399994,0.5653551206399992
12,-3.9565038196742535,0.6009380966399989,0.5764168166399988,0.6145288166399985,0.645416816639999,0.6083512166399991,0.562152652799998,0.645416816639999,0.6097768166399988,0.5760300134399994,0.5653551206399992
13,-3.9565038196742535,0.6009380966399989,0.5764168166399988,0.6145288166399985,0.645416816639999,0.6083512166399991,0.562152652799998,0.645416816639999,0.6097768166399988,0.5760300134399994,0.5653551206399992
14,-4.928864121437073,0.648090408350513,0.6236048842801136,0.6019266404401129,0.6653908042801127,0.5852738076721131,0.552767663099901,0.6509764042801129,0.5891167690801131,0.5661261866299376,0.5149100916068334
15,-4.928864121437073,0.648090408350513,0.6236048842801136,0.6019266404401129,0.6653908042801127,0.5852738076721131,0.552767663099901,0.6509764042801129,0.5891167690801131,0.5661261866299376,0.5149100916068334
16,-4.928864121437073,0.648090408350513,0.6236048842801136,0.6019266404401129,0.6653908042801127,0.5852738076721131,0.552767663099901,0.6509764042801129,0.5891167690801131,0.5661261866299376,0.5149100916068334
17,-6.011752046644688,0.5884444188321616,0.6253787177723729,0.608557045303892,0.7036019600123726,0.5908469423621969,0.5272557533230158,0.6766182032123726,0.5608169661179723,0.5465155237712438,0.561213905887993
18,-6.011752046644688,0.5884444188321616,0.6253787177723729,0.608557045303892,0.7036019600123726,0.5908469423621969,0.5272557533230158,0.6766182032123726,0.5608169661179723,0.5465155237712438,0.561213905887993
19,-6.011752046644688,0.5884444188321616,0.6253787177723729,0.608557045303892,0.7036019600123726,0.5908469423621969,0.5272557533230158,0.6766182032123726,0.5608169661179723,0.5465155237712438,0.561213905887993
20,-6.011752046644688,0.5884444188321616,0.6253787177723729,0.608557045303892,0.7036019600123726,0.5908469423621969,0.5272557533230158,0.6766182032123726,0.5608169661179723,0.5465155237712438,0.561213905887993
21,-6.011752046644688,0.5884444188321616,0.6253787177723729,0.608557045303892,0.7036019600123726,0.5908469423621969,0.5272557533230158,0.6766182032123726,0.5608169661179723,0.5465155237712438,0.561213905887993
22,-6.666411723941565,0.648147135925933,0.6006393603970819,0.6278052327572485,0.7145633900386044,0.6139549661393786,0.4960667403907526,0.7154798165079805,0.5690474896973483,0.49029220292587805,0.48379488798939674
23,-6.702404446899891,0.6537143108026064,0.5714361462694999,0.6143793105777173,0.7806682648034806,0.6022332940224862,0.499080214380236,0.7110980192136687,0.5425014215598465,0.5220957166560707,0.47380612956158874
24,-6.7358614802360535,0.6388518780983439,0.6401655795989849,0.6155906302661063,0.7363192823284335,0.6001417709049055,0.5070194195472439,0.6986810694839303,0.5495100661839518,0.5260556691442526,0.454578939079328
25,-6.7358614802360535,0.6388518780983439,0.6401655795989849,0.6155906302661063,0.7363192823284335,0.6001417709049055,0.5070194195472439,0.6986810694839303,0.5495100661839518,0.5260556691442526,0.454578939079328
26,-6.7358614802360535,0.6388518780983439,0.6401655795989849,0.6155906302661063,0.7363192823284335,0.6001417709049055,0.5070194195472439,0.6986810694839303,0.5495100661839518,0.5260556691442526,0.454578939079328
27,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
28,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
29,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
30,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
31,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
32,-6.911190263926983,0.6020461034925311,0.589391876999348,0.6286534659225025,0.766519897331837,0.6105453648172214,0.48150639042072396,0.7319704044165349,0.5537268110892117,0.5073123827952237,0.4758503374039036
33,-7.086084857583046,0.6267969310010962,0.6036442225682813,0.618471640380933,0.7332410383423763,0.599404134293901,0.5139517540089322,0.6828927548453393,0.555404238903361,0.5187433347758411,0.49262584931506925
34,-7.086084857583046,0.6267969310010962,0.6036442225682813,0.618471640380933,0.7332410383423763,0.599404134293901,0.5139517540089322,0.6828927548453393,0.555404238903361,0.5187433347758411,0.49262584931506925
35,-7.086084857583046,0.6267969310010962,0.6036442225682813,0.618471640380933,0.7332410383423763,0.599404134293901,0.5139517540089322,0.6828927548453393,0.555404238903361,0.5187433347758411,0.49262584931506925
36,-7.086084857583046,0.6267969310010962,0.6036442225682813,0.618471640380933,0.7332410383423763,0.599404134293901,0.5139517540089322,0.6828927548453393,0.555404238903361,0.5187433347758411,0.49262584931506925
37,-7.086084857583046,0.6267969310010962,0.6036442225682813,0.618471640380933,0.7332410383423763,0.599404134293901,0.5139517540089322,0.6828927548453393,0.555404238903361,0.5187433347758411,0.49262584931506925
38,-7.2047164514660835,0.6197949338661742,0.6042322482749704,0.6108368648939119,0.7401133198427684,0.630615755980717,0.5124688903385143,0.6974160434090163,0.5530496039334148,0.5096317046158728,0.489094087818696
39,-7.266145184636116,0.6035533792017671,0.6058155939609291,0.6123095214656047,0.7730911307477986,0.5934272255564939,0.5181820865701079,0.6905798078506407,0.542747689300703,0.544974200345961,0.4846056880592452
40,-7.266145184636116,0.6035533792017671,0.6058155939609291,0.6123095214656047,0.7730911307477986,0.5934272255564939,0.5181820865701079,0.6905798078506407,0.542747689300703,0.544974200345961,0.4846056880592452
