iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-12.835842162370682,1.4142006481256058,0.6037095007198382,0.5972151859674013,0.6216501163127899,0.5991522518778892,1.3842167746359868,0.5825188276583175,1.4030239759190994,0.6093664443723515,1.394125951754926
2,-13.225978553295135,1.438634532294116,0.6271733521860459,0.5918602414978192,0.6362222775872128,0.5612706189574781,1.3904924104947154,0.6038481165034235,1.4061583183263926,0.5799529733330208,1.4043116192988865
3,-13.317889928817749,1.439017656806335,0.6455661995953892,0.589821639872516,0.6302635091308681,0.5530451193689552,1.3908549692895824,0.62153999748051,1.405442256440368,0.5662941768651826,1.4132292690440824
4,-13.353122770786285,1.4389838700419784,0.6603148030766529,0.5935389709829962,0.6260406861420138,0.5511925035133357,1.3925668528264692,0.631068230378675,1.4070336254893363,0.562360951545399,1.4201272353557253
5,-13.383670806884766,1.4395707890884115,0.6794790828359458,0.6060414121865809,0.6231766573416141,0.555002520347648,1.3947852481790202,0.6454105178341496,1.41214305838696,0.5631401979937596,1.428053363249633
6,-13.392699778079987,1.440400782215623,0.6827664529685445,0.6108557573156972,0.6254056283353179,0.5592010752472109,1.3953094141319227,0.6490826183557242,1.4150783915172667,0.5668602804969081,1.4303886609488365
7,-13.410932332277298,1.4461177326687595,0.699034383962478,0.6325602283230871,0.6385250329110925,0.5775467252743264,1.3997004699963005,0.6676336963989256,1.4284925429016295,0.5849751956500537,1.4394143207924857
8,-13.41285052895546,1.446534796065472,0.7004702173039764,0.6329448456138071,0.6404442173346697,0.5777224582114806,1.4022756908551557,0.66845920423064,1.4294063383141284,0.5866342453587622,1.4373888354351887
9,-13.421555697917938,1.4471560167055735,0.7183981196157039,0.6405555888471144,0.6537503337414285,0.5786681421007566,1.4251712312173037,0.6798666350374862,1.4373892285332763,0.599926352217723,1.4235102394589174
10,-13.423724234104156,1.4470922418215777,0.7256114665717817,0.6460426509320032,0.6555730845960784,0.5790187301837639,1.4318209416915062,0.683660386990559,1.4401448474348189,0.6028082842659279,1.4219389572863115
11,-4.948808886110783,1.4523625374505142,1.0536694420714883,1.4331883253923112,1.2948310158645386,0.7692393612206208,1.9193491598641756,0.6607269833067035,1.833823469401966,1.478488216315902,0.5072710101911738
