iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-15.83048902451992,1.828157902706716,0.46838699875493217,0.5423737490776316,1.7408854910402538,0.5046937352748379,1.3158742561676136,1.304808480815495,1.4003337348889073
2,-18.40274015069008,1.754925442402837,0.45116260137106345,0.46008172378575923,1.647477871477622,1.2769217889932678,1.3674955772749346,1.2810257334242139,1.3977099214582442
3,-18.78504005074501,1.735519314974958,0.4240801587402561,1.3296601868549338,1.7214197180996444,1.9519116365865727,1.4156518913190013,1.3451354630932877,1.4149302583816663
4,-20.01943126320839,1.6856262312267012,1.9598389966035847,1.3274299191599497,1.6681543731222799,1.9728610118832177,1.4222399438448645,1.3337916491047455,1.413331027592664
5,-20.08297771215439,1.6752599360634193,1.9510922359227492,1.3360935374195702,1.6619327309400782,1.9660629087139043,1.4278012369116035,1.3300312949336326,1.413695189217473
6,-20.21397167444229,1.6442176255764622,1.9158142975804608,1.3573143023042171,1.625038988267203,1.944567771137122,1.4474091308167265,1.3145448510852096,1.4113750300515333
7,-20.2469682097435,1.6383223783445293,1.9045194309838525,1.3590602488247536,1.611420594817313,1.9354014587404458,1.4524223189379417,1.3094119435353513,1.4087123303189293
8,-20.30740863084793,1.6157258450833394,1.8594116459634449,1.3664165893674818,1.5609405216557954,1.8822320001838961,1.4730932416695255,1.284467157021668,1.398648051530572
9,-20.313657015562057,1.614084474456867,1.8543529546639028,1.3657287017756232,1.5570682520607062,1.8652741699904787,1.4748822175907683,1.2796148365378355,1.3982507846420498
10,-17.0506728887558,0.8776973721661809,1.77289229127473,2.3479586397194954,1.4441039528870092,4.691367796047751,1.6786102348356984,1.8398703359660802,1.4346692606677398
