iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
1,-6.94049397110939,0.40160344374517587,0.6872677041880959,0.6895053376288164,0.7322643708365494,0.40160344374517587,0.40160344374517587,0.7322643708365494,0.7322643708365494,0.40160344374517587,0.40160344374517587,0.7322643708365494,0.40160344374517587,0.7322643708365494,0.40160344374517587,0.7322643708365494,0.40160344374517587,0.7322643708365494,0.40160344374517587,0.7322643708365494,0.40160344374517587
2,-8.568932980298996,0.37975508931975765,0.6989905425230654,0.7064903187342924,0.7520653875322707,0.37533133034226596,0.37854048474700575,0.7458033483691547,0.754354889993164,0.37637308580684203,0.3774026457454718,0.7507891051551329,0.37238864051882603,0.7420476501571875,0.37097140904454345,0.7546383165107685,0.38787205751157067,0.7571524560406069,0.3642713159390897,0.7506381702400858,0.381224688032519
3,-10.65557187795639,0.4066583818314933,0.6913467718140587,0.7214538193246509,0.7800550486763805,0.39274624333314195,0.40666827347234497,0.7495920720765601,0.7951119007448607,0.37868984896719915,0.3757197946509803,0.7640336443716456,0.3322117917413727,0.6954245488892785,0.32976290074578074,0.7497800765491689,0.4233132331859538,0.8036015048388275,0.3135001157425533,0.7459810748569535,0.39679112322510574
4,-12.202620878815651,0.43354165127206973,0.691101699731601,0.7036424658743572,0.7524956838111378,0.4105005381420973,0.43208884549836024,0.732965360143721,0.7787051945673963,0.39351127003910413,0.3999565067611644,0.7564863598552592,0.3456870716942074,0.6982102033775446,0.35880277100203983,0.736263841524251,0.4379757056038224,0.7806663670540811,0.3481420445554295,0.7394869545611975,0.41673837344547937
5,-12.41202574968338,0.43955515849059945,0.6985092708183691,0.6943673476163226,0.7408875172052214,0.40331668372797885,0.43762708844458786,0.7347989863146583,0.7911313598376052,0.38814952169967987,0.39956597745077427,0.7692816931876695,0.33575109406761905,0.7106696755953429,0.35895166137490975,0.7464600432865893,0.43496488021459007,0.78456574376806,0.3582669238818821,0.7469758771090761,0.41601483372875764
6,-12.644205629825592,0.4479939104179563,0.6981734878909446,0.6937387340373918,0.7355801382791836,0.4105405536025586,0.44731516650264097,0.7281741247702643,0.7910028485178735,0.39497261627169594,0.40736662093285286,0.7690168041430582,0.33755333638573365,0.7050364209272968,0.36059061633331196,0.7486469780415567,0.4439709718463392,0.7908377230052537,0.3606621066131497,0.7424919604195742,0.42212696292553403
7,-12.820750832557678,0.453458966104173,0.7030640883407435,0.6946926829091266,0.7245825125134594,0.417755947854052,0.45472631299481203,0.7176290749482139,0.7889372997454035,0.4034167679200947,0.4182240783942144,0.7694310528064519,0.3436018524580573,0.7048889641114351,0.3644321233237777,0.7605121993843449,0.4505008273681695,0.8002280387779122,0.36637787354510204,0.7365474010282925,0.42458360910125453
8,-12.985165625810623,0.45795498163500464,0.7138477039054277,0.6952081181628935,0.7078163362534992,0.42429716053577593,0.46030276620444777,0.7061834882422041,0.7884288838136944,0.4087180243918678,0.43003419947952626,0.7691130601780037,0.3475560186446577,0.7101288054558752,0.36949461081915913,0.7745444205758392,0.4537498391774469,0.8109133432924486,0.3749943719491256,0.73240735517123,0.4227420711972676
9,-13.171062499284744,0.4696060942199998,0.7343543661837155,0.7047509862277683,0.6864346957629315,0.43539398083901726,0.46227116801968876,0.6829083941234528,0.7967757175157362,0.40794664107712697,0.44485122583709313,0.7682550904477057,0.3537591015281939,0.7261428103160699,0.3625718398755597,0.7900079720981323,0.4483878071578173,0.8303242011388229,0.388860181632404,0.7358018212724432,0.4177777356937815
10,-13.245275050401688,0.4790944845575743,0.755579600424495,0.7140513175385979,0.6659267888467133,0.43862498526564947,0.4683001496186237,0.6660673728054809,0.8048465446812559,0.40608095123839927,0.4615009025046661,0.7658244249418613,0.35272048136779965,0.7360255341518723,0.3660549520032907,0.7995554069102023,0.4383460267754381,0.8440170377745619,0.3917828312334984,0.7279662952027139,0.41666715537945803
11,-13.276427984237671,0.4719492974792094,0.7481234661285158,0.7128680993956281,0.6728789241879367,0.4332211025352103,0.4672759537661027,0.6730861119752087,0.8066776477053044,0.40019538126059034,0.4583149414939,0.7705715348946581,0.3508167147352643,0.7321392587728014,0.36425618376635277,0.796823702627599,0.435986395749235,0.8367933825495619,0.3853278074781506,0.7283166883668042,0.41351061593928806
12,-13.298484057188034,0.47075606641889367,0.7444488302495307,0.7124431403661319,0.6755490539127427,0.434355318748129,0.46786592299458385,0.673369423777915,0.8076025530204859,0.3977582283094906,0.4585257245199492,0.7691996547086967,0.35155289734988954,0.7312325629333205,0.36286512401760235,0.7932922812827893,0.434159852727576,0.8333349354225635,0.38160704987000166,0.7290607799577872,0.41172961200317154
13,-13.309406608343124,0.47053095473174483,0.7409423797406779,0.7119827040280562,0.6779202381547835,0.4361955698802739,0.47012259691882885,0.6731120859182904,0.8102051226307357,0.39427840166977773,0.45990840448238735,0.7680361494273686,0.35041121447425777,0.7295570605484618,0.3598699711334825,0.7899539928159057,0.43229221975999704,0.8305709145000171,0.37623974879026567,0.7296973051879962,0.40938607969933416
14,-13.322968363761902,0.47234372499353033,0.7451623175053034,0.7144136083084112,0.6726458551321788,0.43779977268250236,0.47352378556680214,0.6681767989550071,0.8131098998344405,0.39259301593418544,0.46523683361413226,0.7670257245738443,0.35013406811806924,0.7308182416653786,0.35911525138271677,0.7923987489401093,0.42890720291109474,0.8338078659904783,0.37601242746364777,0.7287336554995292,0.4097301300118533
15,-13.327032208442688,0.47404404147197216,0.7485977781306468,0.716705217488814,0.6682653097203366,0.4393245402289127,0.47655692376958525,0.6636575596053771,0.8157113169978859,0.3904655332568188,0.47043082897402355,0.7669819164428564,0.34955065849069106,0.7323467882292706,0.35757368159904546,0.794862025910602,0.42606844865311333,0.8365716518235852,0.3760693859321109,0.728121033288542,0.4083819418626669
16,-13.331439226865768,0.4742438849113181,0.7479825138205503,0.7174710099168183,0.6679875354352107,0.4386854896530202,0.4773384393661913,0.6646175960633272,0.8145896478238704,0.3914085639904971,0.4696275756506487,0.7676182088765536,0.3494924108257308,0.7319582352474518,0.35734231019867874,0.7945212606115862,0.4276202243529553,0.8360364985092364,0.3775433933099958,0.7273851334944127,0.4082598673938723
17,-13.33529606461525,0.474784787313105,0.7468960292303726,0.7189879533931545,0.6664712556839322,0.43848876052906416,0.47915242702450095,0.665305045878016,0.812541896498202,0.39329290114044385,0.469733637226462,0.7687062976297779,0.34941483456750944,0.7313599573966723,0.357171655186911,0.7951792843002078,0.430651845766084,0.835596011564584,0.38090499226695707,0.7254754490192734,0.40800828821602475
18,-13.33532264828682,0.47494231252655966,0.7469447853008824,0.719289619032741,0.666113445987448,0.4385313025862647,0.47943567808194676,0.6652001024497731,0.812438411169501,0.3934666040256254,0.4698924578649015,0.7688686940162853,0.34943265752418334,0.7313891028122689,0.3570207810445098,0.7953529848569956,0.4309391668049627,0.8356580257475863,0.38136850442855563,0.7252353772852176,0.4079514531906807
19,-13.337259888648987,0.4745943245232242,0.7462310177933643,0.719956110713235,0.6658861908679841,0.43861359121493154,0.4802630091873236,0.6650754948216329,0.813199713809981,0.3925707150735966,0.4705833227029443,0.7695131537953788,0.3493413445255714,0.7311653529342095,0.3560056263149313,0.795399689555919,0.4307655166752045,0.8350386963894836,0.38104384486430726,0.7249076867806354,0.40732994795355054
20,-13.338745176792145,0.47397090305740214,0.7449286939409243,0.7215315831225875,0.6652058945252658,0.438791131130355,0.4824627166089713,0.664467868589666,0.815212283843172,0.39001700853514115,0.4726322803293984,0.7706119285643585,0.34880911287129346,0.7307495239342745,0.3538172809649702,0.7952672042203034,0.42950930047664104,0.8337077573963949,0.379622766053889,0.7241070258024886,0.4055267935558284
21,-13.338985830545425,0.4736455957109398,0.7444148585192558,0.7220452672721437,0.6653738212351723,0.43889346598601103,0.4832354398366711,0.6644668103133099,0.8160350888683551,0.3886332332508664,0.47347415192711545,0.7708940018243632,0.34847842679208557,0.730310146439046,0.3528876350862673,0.7949265126588785,0.42920273815144155,0.8325979591269748,0.37906985394100956,0.7237773755496072,0.40483838784366316
22,-13.341429650783539,0.4739847890452268,0.7444620135991494,0.7218414510892163,0.665812240704623,0.4393818225604215,0.48322981326012227,0.6644311879789704,0.8160221615425237,0.3885514904767151,0.473578947690151,0.7704464080728751,0.34825527237239157,0.7303195895799062,0.3529201974756776,0.7944108999265952,0.4295141437194792,0.8325551776071748,0.3789490998429696,0.7237349921650554,0.4050370094714642
23,-13.343174815177917,0.474581018330613,0.7444134608010157,0.7217995571370802,0.6667005932368938,0.44075060949770234,0.4837842654665787,0.6639485000329776,0.8168818028579243,0.38738054408308004,0.4745912959524696,0.7695279919900225,0.3475759511893928,0.7302286611082234,0.352290710336579,0.7931863842062259,0.4295505126017281,0.832184857999241,0.37787438252269717,0.7235349258533806,0.40495381536846264
24,-13.344415843486786,0.47498855758636116,0.7434745941763609,0.7226767467085982,0.6668742273681767,0.4412112036268674,0.4850572516771316,0.6642280830173382,0.8169051583509543,0.38638777441259,0.47505216771846487,0.7695573973813936,0.3465572996600387,0.7298570579977913,0.3511859372672378,0.7926480351516261,0.43063665552292163,0.8315801560849858,0.37802176949547195,0.7227805259382329,0.4045043864465558
25,-13.347124814987183,0.4752294281833674,0.7424982449354859,0.724018264430583,0.6678564506643182,0.44147862703713187,0.48523022508774044,0.6660432293958954,0.815952210121672,0.38522762125881577,0.4740489983208836,0.7688861662653617,0.34430322428471083,0.7297705099607669,0.3499963531169806,0.7919766267200858,0.4328589486345158,0.8307877865186414,0.378213305767486,0.7217484219914333,0.4044813719678771
26,-13.347442239522934,0.4757367840896285,0.741440904514824,0.726544534013514,0.6680491682991586,0.4418300770979873,0.48601211792976207,0.6681660800251292,0.81544271747712,0.38210880713996365,0.4735068878111502,0.7680247939093199,0.34023414419551623,0.7308883446993422,0.3489242386460991,0.7914222116848459,0.4360714972897847,0.8302623434048793,0.37938753431194305,0.721096930329707,0.40401495238532076
27,-13.351256996393204,0.47530399781750315,0.7401684899959088,0.7271321117182094,0.6679812340269375,0.44095745455263397,0.48559227839960944,0.6678115994586173,0.8162219342211817,0.38024525060450604,0.4744005987681897,0.7680968534380695,0.34036590407436934,0.7313987933455457,0.3484000531938816,0.7913645083613409,0.4355374553116543,0.8297724769915691,0.3793225018188772,0.7204481947085641,0.40284503326147003
28,-13.354434311389923,0.47488069049589093,0.7398459220553893,0.7261284493573879,0.6673529417953812,0.4398634965709153,0.48384410557665636,0.666482857026707,0.8170949790008691,0.3803366844452254,0.47507415821877863,0.7681106988534006,0.3425768021588762,0.7314224271780457,0.3490946590407166,0.7920802112211599,0.4333556373230097,0.8303085253791284,0.3791061593103827,0.7208035533959984,0.4022177610382412
29,-13.357736855745316,0.4749357325045805,0.739305788071663,0.7258383163825187,0.6672240270044136,0.4394526348023866,0.48274260326518004,0.6662695825630438,0.8177528955214433,0.3793077422311515,0.47550936253517173,0.76661064279186,0.3423691557321678,0.731245498547504,0.3480218817549231,0.7911636756813932,0.433492441995611,0.8304603235072965,0.37854016900234755,0.7206691444007826,0.4019080806070796
