iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-11.814280092716217,0.5775437505390493,0.614970832973967,0.614970832973967,0.5775437505390493,0.5775437505390493,0.614970832973967,0.614970832973967,0.5775437505390493,0.5775437505390493,0.614970832973967,0.614970832973967,0.5775437505390493,0.614970832973967,0.614970832973967,0.614970832973967,0.5775437505390493,0.614970832973967,0.614970832973967,0.614970832973967,0.614970832973967,0.614970832973967,0.614970832973967,0.614970832973967,0.614970832973967
2,-12.543281331658363,0.5760832168347495,0.6245819853330075,0.6290735686070322,0.5592745236187099,0.578778094125967,0.6292245153118734,0.6297560908901221,0.5595122334203373,0.5797065068436472,0.627231294959865,0.6270545579179767,0.5586931157818464,0.6105535516101139,0.6232710920458266,0.6273718900636001,0.5587577356072793,0.6107325365586947,0.628171739078622,0.6195529449706316,0.6121433215763245,0.6165671922552607,0.6297853706797607,0.6204032404279148,0.6091337623131506
3,-13.056163415312767,0.5868884630717025,0.6213061629231572,0.6297986034325015,0.5567297756793929,0.590776890747539,0.6295831774503974,0.6294645567022648,0.5581606942189603,0.5935172499170509,0.6249179582220034,0.624758775653611,0.5570443128170084,0.6031964132553476,0.6200927025622511,0.6323398059666949,0.5547232740960273,0.6036804014531558,0.6276534716917362,0.6203107198321794,0.6021582404302581,0.6153383122632715,0.6324596140364087,0.6216204607000184,0.5987653722324557
4,-13.152877509593964,0.5899960202778751,0.6172943496166954,0.6276806898741718,0.5585367582522601,0.5945340408835115,0.6285430700008177,0.6278071163860417,0.5589117557472914,0.5978379958236008,0.624328553183527,0.6245067484452375,0.5583804149845841,0.6003671019514656,0.6168909598739882,0.6387083148105333,0.5548246727657168,0.6019588057238415,0.6235080299912354,0.6244584418087252,0.5981928186047469,0.6142743814697501,0.6293663767377623,0.6241452506552171,0.5946612830514005
5,-13.194723904132843,0.590206774509819,0.6144436610555835,0.6263060281064077,0.560294693048382,0.593782156447676,0.6295112107417963,0.6278690137481189,0.5585747309023356,0.5984879242009512,0.6248409498196064,0.6249697492822865,0.5586338973227367,0.5975773148465103,0.6156770136742425,0.6442769069257402,0.5515016772251226,0.602631023995699,0.6225587233317011,0.6279620418229006,0.5955583476767015,0.6154945208432865,0.6277805943411865,0.6258601655470475,0.5927063703251841
6,-13.24453741312027,0.5915427518744145,0.6058253444208432,0.6220065624209552,0.5677868753044396,0.5904426258034876,0.6311156728678662,0.624288736524108,0.5592365766625925,0.600361379925374,0.6244564199040438,0.6244634677298002,0.559542945507247,0.5878604731246571,0.6123705904337896,0.6584088820125233,0.5423868900490968,0.6041629813130539,0.6231485528612838,0.6362790220039689,0.5904145772176014,0.6211597943482077,0.6238337178396858,0.6268206797866599,0.5851134096103136
7,-13.298436164855957,0.5911236144811843,0.6034019814404792,0.6221842841898095,0.5759153186288901,0.5851231666070109,0.6323112775625168,0.6219381638596856,0.5611294178613865,0.5992121497506258,0.622572012628733,0.6227604641479937,0.5627329497616007,0.577117418576229,0.6082362735098865,0.666063833011505,0.5324915838637948,0.6099106835397887,0.6224498217916895,0.6408337861871886,0.5871014637712139,0.6297005017417017,0.6229064861730644,0.6261145157944747,0.5828448738956701
8,-13.325345069169998,0.5899645460366951,0.6071724061403522,0.6217838189541021,0.5765276833177458,0.584743433258436,0.6297254336315687,0.6210971191699577,0.561165280641568,0.5977464434333019,0.6178577368494734,0.6191979512340169,0.5629589822863015,0.5737626687097876,0.6109473140964009,0.6642289442741779,0.532246241888152,0.614877354440288,0.6231458507279567,0.6374836920433001,0.5880808602086898,0.6318108291952819,0.6281736459606858,0.6243523884114974,0.584301798832426
9,-13.339601427316666,0.5907658670840332,0.6055080655785577,0.6198305623377532,0.5782000333935335,0.584987764276465,0.6304842175392256,0.6200969108135024,0.5611392950991939,0.5987407716623705,0.6170592115787271,0.6191978287490144,0.5634198922608624,0.5697127472073474,0.6114384227428574,0.668535993076143,0.5298077376894544,0.6158897956221189,0.6219481919428373,0.6389366014998625,0.585376960169529,0.6340126107692572,0.6288491120622927,0.6234572973931295,0.5820697608412916
10,-13.342510163784027,0.5915627177950588,0.6031359272842496,0.6163404717594301,0.5822105067295705,0.5840867915850669,0.6311149968076103,0.6181670763346081,0.5614230283380967,0.5996070747215818,0.6149562531293894,0.6183037234707414,0.5645479842878627,0.5621902009731479,0.6118518182640444,0.6756036021640299,0.5251988097140368,0.619206285632097,0.6199583922391072,0.6410379967539256,0.5815012220810176,0.6383597424232642,0.629957228810904,0.6216068588089764,0.579157856670955
