iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
1,-8.221884727478027,0.5570562010140486,0.5570562010140486,0.6286291993239675,0.5570562010140486,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.5570562010140486,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.5570562010140486,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.6286291993239675,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.6286291993239675,0.5570562010140486,0.6286291993239675,0.6286291993239675,0.6286291993239675,0.6253620920176265,0.6286291993239675,0.6286291993239675,0.6286291993239675,0.6286291993239675
2,-12.355226963758469,0.580049923936003,0.5765678354406208,0.6223575034440072,0.5704673093183996,0.579657738556968,0.6161939215254237,0.6211120390023613,0.5752800515349745,0.5788212757981807,0.6139864566687242,0.61905896742621,0.5776713357812447,0.5799659491904744,0.6128087630798138,0.6187325630948961,0.57772073394755,0.6173963761685947,0.6140188997430143,0.6205056001684989,0.5634043536727877,0.6236260284150742,0.6172746277837363,0.6175712501526947,0.5600598996562568,0.6257228438200074,0.6212021429472486,0.6155923237038441,0.6043062609521056,0.6260531547941813,0.6212394032056227,0.6144552591431103,0.6105252299082172
3,-12.967678353190422,0.5891830835027706,0.584489685235564,0.6215669003629563,0.5719899210105729,0.589724704732328,0.6209991510519975,0.6258435185767147,0.5761389802837124,0.5912642842739226,0.6184040254456613,0.625638735408941,0.5792990407263493,0.5942765035484932,0.6164493262899018,0.6217601067978713,0.5789114073196426,0.6104687222229335,0.6044721701638606,0.6295677748773078,0.5563578934727593,0.6175904169088239,0.6110419097134574,0.623175529239484,0.5482747086253016,0.6214200017923373,0.6200276990621713,0.6120970617447606,0.5882754558335003,0.6239769726622606,0.6201840343025572,0.6092844417971095,0.5954743962501731
4,-13.176858007907867,0.5865400394141943,0.5821157460844362,0.6209249346894129,0.5700623251914922,0.5876651969704005,0.6235306670854157,0.6260038251187117,0.5726796958416274,0.5897080075372935,0.620922558773895,0.6285375982584163,0.575072317181305,0.593219519972706,0.6184279950126788,0.6234443977271578,0.5738657492892363,0.6109052524578502,0.6075606681063431,0.634759402809238,0.5513287167406696,0.6201793013656621,0.6126310545443413,0.629221321101189,0.5414602479581543,0.6239992410552362,0.6230667476922688,0.6175576867152018,0.5879775346360576,0.6264810923440804,0.6256136494709319,0.6141668426909297,0.5949873303549402
5,-13.22057557106018,0.5871748392716203,0.5827501659280894,0.6192772848660839,0.5716795446990434,0.5876500309803503,0.6236461117666586,0.6233136082394574,0.5738153655464667,0.5895569532036032,0.6204341186780158,0.6265838784542266,0.5753477686026923,0.5927739011788659,0.6184710393900148,0.6227121349823144,0.5737916026200802,0.6088328282888752,0.6092748011023721,0.6341004732982554,0.5515805779781264,0.6207872779654157,0.6127385856605597,0.6301852363065197,0.5430236908859721,0.6241869230517247,0.6225651661120384,0.6199639796591041,0.5886819927604606,0.6263389617431087,0.6263957206723659,0.6162867233599784,0.5959396018032905
6,-13.277792125940323,0.5905656092891358,0.587433501000406,0.6128491278223118,0.5772100864901362,0.5893305197178096,0.6261346497320934,0.61530245875178,0.5774832443070688,0.5905279205721575,0.6213375459384436,0.6216348778549979,0.5746899779295807,0.5944482824643638,0.6207395646615416,0.6192428606661071,0.5723245531646218,0.5982344761203294,0.6122768008166795,0.6346002109746837,0.5504086419356474,0.6221040315389031,0.612307733978767,0.6350816320480803,0.5448838192060586,0.6239349698814399,0.6230196617379987,0.6283507611097856,0.5896074819486865,0.6263350297262766,0.6298971644934221,0.6240921450315567,0.5947298280717267
7,-13.322996199131012,0.593229448980102,0.5885975766399881,0.6102745839797553,0.5787846972249089,0.590358747152351,0.628487050769844,0.6135528842723857,0.5779856095570428,0.5911426035279412,0.6238198447216807,0.6210017700386882,0.5748508890620153,0.5960340845044109,0.6226069353027192,0.6195664687861673,0.5724939401668391,0.5921066949457837,0.6133432322342455,0.6354844591223722,0.547254969521966,0.6213596827414704,0.6145417443599323,0.6359608174961063,0.5426404105235885,0.6253423532990093,0.6230794033239861,0.6286050868539793,0.5868911404518251,0.6290367087130657,0.6300884696689151,0.6241156057543924,0.5946574829580771
8,-13.337262898683548,0.5958619345210893,0.5902622980190001,0.6078825678959511,0.5800941477067574,0.5918956905863575,0.630366174137652,0.6118444922234286,0.5784880682831743,0.5920819748554343,0.6253239258263212,0.6203239187718206,0.5748397607768632,0.5978321863710379,0.6239663292209812,0.6194296741571057,0.5721500961606549,0.5862793034207912,0.613684258548882,0.6366441860437236,0.543391618830105,0.6214698865520109,0.6154557472427657,0.6381193386313913,0.5397128804324423,0.6272428386508343,0.6234087341757241,0.6303008722921154,0.5838012145929254,0.631430291045602,0.6310140521534753,0.6249772859694167,0.5939617483096019
9,-13.349579066038132,0.5965942139963953,0.5909475987593578,0.6078606650312339,0.5796771936254028,0.5925383013394544,0.629357001388457,0.6117504689327219,0.5779097554028727,0.5921865021224184,0.6246614819710598,0.6198567273693811,0.5746297798512354,0.5988214169419944,0.6233380517958351,0.6195956051819337,0.5714661187054836,0.586113817862285,0.6118764052417656,0.6364981032157672,0.5447128118268503,0.6217462158571073,0.6144720528033992,0.6387652847117685,0.5401717497430792,0.6281975313033391,0.6236399938475161,0.6297000838408854,0.5831113289797288,0.6321500077255064,0.6313170849582984,0.6239999303426947,0.5936545779605418
10,-13.361756473779678,0.5992708158514178,0.5918931399691132,0.6067050503756529,0.5793546990442436,0.5937029254893519,0.6277358347230433,0.6107432600415728,0.577268774327695,0.5922941444095643,0.6240228117798695,0.6193767697029169,0.5735277469629187,0.6011480708583007,0.6235748177057814,0.62041813984016,0.5699042021551836,0.584535563232502,0.6086122490318593,0.6377159118753899,0.5457666212503028,0.623171188119482,0.613670856498591,0.641078037203216,0.5398362835199992,0.6309925126601271,0.6236781808957326,0.6293389445242916,0.5809119913888326,0.63363986164045,0.6333279030229085,0.6234028187102434,0.5932563003619105
