iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
0,-8.943221671506763,0.5960846081376076,0.6115148369222879,0.6036744736135006,0.612093523517251,0.585260771587491,0.6030915681272745
1,-9.212859898805618,0.594077110895887,0.618715432845056,0.6087404756341129,0.6211130201350897,0.5732826729305088,0.6036130342632532
2,-9.376871660351753,0.5936771506909281,0.6227893898263573,0.6141296351794153,0.6276485614012927,0.5636910283006727,0.6023197643458843
3,-9.487670935690403,0.5943435380700975,0.6249198684468865,0.6191624539438635,0.6325206972192973,0.5558889144100249,0.5999827332794666
4,-9.568674355745316,0.5956215696875006,0.6259138876572251,0.6235331507865339,0.6363520726095885,0.5493820914067328,0.5971448257565498
5,-9.63048803806305,0.5972064944449812,0.6262472638860345,0.6271847697440535,0.6395320996176451,0.5438354992307722,0.5941536486148834
6,-9.678724527359009,0.5989060985390097,0.6261889779940247,0.6301675873342901,0.6422733619343489,0.5390323259867728,0.5911895468831062
7,-9.71679337322712,0.6006004276219755,0.6258873188868165,0.6325746464077383,0.6447023331653327,0.5348312118090689,0.58836699873209
8,-9.747005298733711,0.6022259058896452,0.6254236916080117,0.6345080646220594,0.6468891828786582,0.5311348968185484,0.5857415333390236
9,-9.771097734570503,0.6037476720754057,0.6248534614220261,0.6360587241593748,0.6488755002152174,0.5278636076487601,0.5833415001630783
10,-9.790390774607658,0.6051442908588797,0.6242020422592759,0.6373039024416357,0.6506885319482535,0.5249637299217284,0.5811617434024811
11,-9.805857464671135,0.6064098762813955,0.6234980368986726,0.6383007975760847,0.6523508384358138,0.522383124474436,0.579216031730175
12,-9.818284586071968,0.6075432958547026,0.6227534705772996,0.6391014742199331,0.6538799881469458,0.5200796880759299,0.5774863868951797
13,-9.828319951891899,0.60855140411295,0.6219809422269463,0.6397422763053328,0.6552873804699629,0.5180246614851057,0.5759539738297462
14,-9.836475223302841,0.6094400050584227,0.6211903760209679,0.6402584972325712,0.6565841093193739,0.5161819615401327,0.574606417119503
15,-9.843112528324127,0.6102192240301519,0.6203880229964852,0.6406732934061438,0.6577789738308638,0.5145278208889067,0.5734326377511024
16,-9.848569840192795,0.6108998643700033,0.6195763045921922,0.6410061406437307,0.658889229549095,0.5130345680750906,0.5724192544817924
17,-9.853065699338913,0.6114870446268469,0.6187633717432618,0.6412711279932409,0.6599147125612944,0.5116854169405997,0.5715510383248329
18,-9.856809258460999,0.6119907634798437,0.6179486507549882,0.6414838569704443,0.6608660920988768,0.5104625680483877,0.5708098694682121
19,-9.85998409986496,0.6124198424164206,0.617134346999228,0.6416496919933706,0.6617498948704451,0.5093455174006521,0.5701777622103691
20,-9.862671196460724,0.6127789007965475,0.61632643584162,0.6417776631657034,0.6625715001951903,0.5083270081318915,0.5696461781859398
21,-9.864977926015854,0.6130774455610662,0.6155256921425462,0.6418774711433798,0.6633384480606764,0.5073931672610342,0.5692079201340675
22,-9.866977781057358,0.6133240895811468,0.6147373611107468,0.641949980193749,0.6640512153040617,0.5065305390395224,0.5688456580042839
23,-9.868749558925629,0.6135191755834967,0.6139551991596818,0.6420032071415335,0.6647168054711073,0.5057336845435202,0.5685500040650368
24,-9.870313346385956,0.6136710482183844,0.6131833041086793,0.642033843928948,0.6653389140497893,0.5049928435124457,0.5683153256773948
25,-9.871716678142548,0.6137860702816397,0.612427263893187,0.6420497136656195,0.6659195228945464,0.5042974510230124,0.5681348726153373
26,-9.87298133969307,0.6138654189649969,0.6116836512461304,0.6420530366245657,0.666465277923271,0.5036460765637457,0.5680010601878166
27,-9.874133467674255,0.6139131324831396,0.6109513038769364,0.6420442151371389,0.666976462258026,0.5030356653966009,0.567910535633564
28,-9.875193059444427,0.6139336364809423,0.6102337384596467,0.6420256035868078,0.6674530311953276,0.5024570235051214,0.5678507670760155
29,-9.876177996397018,0.6139320867601782,0.6095281386747956,0.6420010464731604,0.6679001554381102,0.5019079753197729,0.5678184762597084
30,-9.877086460590363,0.6139058458153158,0.6088337892666459,0.641965194279328,0.6683165683876723,0.5013875522650778,0.5678227379918098
31,-9.877948611974716,0.6138616042677313,0.6081544304266572,0.6419222640339285,0.6687070086132735,0.5008862474001944,0.5678429439663887
32,-9.87873649597168,0.6137963669840246,0.6074888402596116,0.6418730454985052,0.6690703287255019,0.5004073687829077,0.5678848460316658
33,-9.879507809877396,0.6137120860163122,0.6068364972248673,0.6418197291437536,0.6694104775320738,0.49994416618719695,0.5679428413510322
34,-9.880230903625488,0.6136146622244268,0.6061959261074662,0.6417611526791006,0.6697295113932341,0.49949850225821135,0.5680085703730583
35,-9.880905270576477,0.6135054069105536,0.6055683488026261,0.6416973459068686,0.6700292929541319,0.49906787360087035,0.5680857434868812
36,-9.88155773282051,0.6133825021330267,0.6049521112814545,0.6416299181524664,0.6703038915526122,0.49864910626783965,0.5681729301810264
37,-9.882179200649261,0.6132482277695089,0.6043516987934708,0.6415557550732046,0.6705660178791731,0.49823762560263274,0.5682704284787178
38,-9.882757604122162,0.6131072329822927,0.60376280490309,0.6414781498257071,0.6708045258652419,0.4978431918658316,0.5683717265725136
39,-9.88334196805954,0.6129543768707663,0.6031877839937806,0.6413962530437857,0.6710262253414839,0.4974556871689856,0.5684734120965004
40,-9.883874654769897,0.6127939360681921,0.6026259357109666,0.6413119273725897,0.6712341114412993,0.4970780172385275,0.5685844257473945
41,-9.884393393993378,0.6126247780863195,0.6020732963457703,0.6412294941488653,0.6714227154385298,0.4967075445689261,0.5686902090907097
42,-9.884890973567963,0.6124482291284948,0.6015359753742814,0.6411411302629858,0.6715976401697844,0.4963408418931067,0.5688044711947441
43,-9.8853739798069,0.6122636186424643,0.60100561324507,0.6410494434181601,0.6717601075302809,0.4959787138737738,0.568913547694683
44,-9.88585951924324,0.612071036035195,0.6004850858822465,0.6409550147596746,0.6719073906075209,0.49562327647581694,0.5690231010317802
45,-9.88630074262619,0.6118746387306601,0.5999834978953004,0.6408577846828848,0.6720436617266387,0.4952736952342093,0.5691334292292595
46,-9.886739432811737,0.6116739200893789,0.5994859034195542,0.6407601075712591,0.6721677436958998,0.494929985050112,0.5692401811480522
47,-9.887173414230347,0.6114665853325277,0.5989986652508378,0.6406606572214514,0.6722739591728896,0.4945892252959311,0.5693500027060509
48,-9.887581169605255,0.6112535285297781,0.5985243761911988,0.6405547695700079,0.6723699375521391,0.4942541875876486,0.5694563075900078
49,-9.887989550828934,0.6110383110586554,0.5980559581890702,0.6404500740114599,0.672457407368347,0.49392272615805266,0.5695552065968513
50,-9.888370782136917,0.6108140038792044,0.5976003253832459,0.6403424429241568,0.6725337907206267,0.4935949602164328,0.5696471020579338
51,-9.888757586479187,0.6105877893511206,0.5971550637856126,0.640233381325379,0.6725970312487334,0.4932703682221472,0.5697439894080162
