iter,energy,gamma[0],beta[0]
0,-2.093974146991968,0.5896050570532679,0.5885427271947264
1,-2.3842150792479515,0.5784209141507745,0.5761404478922486
2,-2.7241848185658455,0.5663503644987941,0.562700474075973
3,-3.1238752380013466,0.5532794347032904,0.5481221465393901
4,-3.594906184822321,0.5390814127400517,0.53231042008847
5,-4.150423284620047,0.5236111445352435,0.5151845937594771
6,-4.804483093321323,0.5067118735983968,0.496686072461307
7,-5.570071615278721,0.4882387327030301,0.47680717837065456
8,-6.456332586705685,0.4680612267926335,0.45562408622354267
9,-7.463570535182953,0.4461205856874585,0.43332962077111004
10,-8.577883914113045,0.4224583389237523,0.41026529055088756
11,-9.76506170630455,0.39730736929923294,0.38695182036608455
12,-10.971277743577957,0.37109566796571014,0.36406146120280025
13,-12.129890203475952,0.34448243249207733,0.34233194720000026
14,-13.177650809288025,0.3182553606107831,0.32243062686175106
15,-14.069568902254105,0.2932306783273816,0.30483795832842586
16,-14.787743657827377,0.27010786104947326,0.289758057706058
17,-15.340261399745941,0.2493114875629544,0.27712628375738857
18,-15.749856293201447,0.23105234969407318,0.266703219525516
19,-16.045138478279114,0.2153236525133252,0.25816521178930996
20,-16.25395116209984,0.20195820499211548,0.2511847926303744
21,-16.399531424045563,0.1907237725332379,0.2454669190570712
22,-16.50002047419548,0.18135697711259124,0.24077694248408077
23,-16.569148749113083,0.1735772596672177,0.236898691765964
24,-16.61650288105011,0.1671431319788098,0.23366423081606624
25,-16.64884775876999,0.1618401514366269,0.23096846174448726
26,-16.671003431081772,0.1574601488187909,0.22869804631918667
27,-16.686102479696274,0.15386853683739898,0.22678864132612941
28,-16.696433901786804,0.15092120636254547,0.22517663370817897
29,-16.703555315732956,0.14849051404744384,0.22380991410464046
30,-16.70842295885086,0.14650208819657562,0.22264322768896816
31,-16.711790293455124,0.14485087562352417,0.22165599595755336
32,-16.714098066091537,0.14349676240235565,0.22080999743193386
33,-16.715690821409225,0.14238474834710357,0.22010052334517238
34,-16.716770112514496,0.141486625559628,0.2195056540891528
35,-16.717545717954636,0.14072393942624328,0.2189889861270785
36,-16.718085557222366,0.14010516870766876,0.2185685647651553
37,-16.71844643354416,0.13959165979176757,0.21819394957274196
38,-16.71871018409729,0.13916691709309814,0.21785588692873714
39,-16.718872040510178,0.1388182448223233,0.21757513415068386
40,-16.719010084867477,0.1385225312784314,0.2173502458259463
41,-16.719079941511154,0.1382868247106671,0.21715736519545314
42,-16.7191701233387,0.1380865382030606,0.21699114274233577
43,-16.719196677207947,0.13792144823819397,0.2168510718271136
44,-16.719229727983475,0.13777902293950317,0.21673758458346126
45,-16.719254195690155,0.137665625102818,0.2166287614032626
46,-16.71927496790886,0.13756297100335357,0.216539160721004
47,-16.71925723552704,0.13748485911637542,0.21647393833845852
48,-16.719285011291504,0.1374115156009793,0.21641273926943538
