iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-5.569462422281504,0.5818503039366437,0.5818503039366437,0.5818503039366437,0.5818503039366437,0.5818503039366437,0.5818503039366437,1.2049903610989232,0.6313381657364068,1.1778951299159015,0.6693384830961115,1.1282825706206163,0.7147825452863168
2,-6.388563916087151,0.5920539808188049,0.5640321553406051,0.5699143310559742,0.5884606981709624,0.5788103870512944,0.5828879131886457,1.1956134822053497,0.6695496326897824,1.1702885342794906,0.6709288490796994,1.103899154470161,0.6999850669287666
3,-6.459343820810318,0.5946520752507163,0.5584086714981479,0.5653553658940941,0.5909444585579123,0.5779772148555632,0.5823892614865328,1.2073630404306472,0.6819448353756571,1.1812470833876627,0.6709781701390082,1.108688059859526,0.6985586890290519
4,-6.464007645845413,0.5961677893019056,0.5569003774016673,0.5643384458818301,0.5910922895912284,0.5776522177084729,0.5825906050193786,1.2071532106461649,0.6855782113374708,1.181050457792104,0.6709722845035805,1.1063664697166635,0.6969920302616098
5,-6.46401834487915,0.5961606079963945,0.5567822306090424,0.5642647487818873,0.5911153031797437,0.5776684635159421,0.5824556050422498,1.2070114873624356,0.6855403419035841,1.1808618559208524,0.6710987262907956,1.1061209060913784,0.6970557140037764
6,-6.464094132184982,0.5958797382221275,0.5568693876952445,0.5643194856869759,0.5912263199802942,0.5777358261924649,0.5822367386774625,1.2067924893558386,0.6848866252302055,1.1804820740820157,0.6712655265645889,1.1060195825525754,0.69748443340828
7,-6.464099943637848,0.5958510746739115,0.5568872554448594,0.5643178670731779,0.5912377500132446,0.5777392627725286,0.5822158347118211,1.2067532194558086,0.6848371954609752,1.1804296609374834,0.6712649046245616,1.1060017727848688,0.6975101949386453
8,-6.464103132486343,0.5958519444983253,0.5568898126058933,0.5643169983512885,0.5912375552672956,0.5777375753466963,0.5822192547478401,1.2067544325364208,0.6848463671486084,1.1804334660438185,0.6712589400789765,1.1060052945361383,0.6975035645184404
9,-6.46410346031189,0.5958446314036041,0.5569114573001913,0.5643123617214125,0.5912245141952936,0.5777257695790695,0.5822246538048211,1.2067475400348018,0.6848683567725228,1.1804442891082512,0.671254224493851,1.1060318409068677,0.6974765923525803
10,-6.464109629392624,0.5957897829259431,0.5569974236064636,0.5643077532284674,0.5912140864134956,0.577714339719605,0.5822269941315805,1.2067132949390031,0.6848568039947286,1.1804411107835784,0.671201624184511,1.1061147815711643,0.6974521220808347
11,-6.464109629392624,0.5957897829262286,0.5569974236057468,0.564307753228243,0.5912140864141101,0.5777143397198359,0.5822269941313768,1.2067132949393073,0.6848568039951431,1.1804411107837163,0.6712016241847967,1.106114781570273,0.6974521220814826
