iter,energy,gamma[0],beta[0],gamma[1],beta[1]
1,-9.044533072039485,3.1456989546365386,0.02713009459547555,0.02713009459547555,0.02713009459547555
2,-9.068095590919256,3.1706517148067843,0.026747773951323633,0.026747773951323633,0.02729691923024056
3,-9.469341903924942,3.2551206996373536,0.07748734917485126,0.08496303089052501,0.0936236027030794
4,-9.525005280971527,3.269100949326163,0.08691862712742884,0.09817280966983678,0.10869241083871915
5,-9.756205946207047,3.265598599852048,0.06792264986858647,0.09771684172786696,0.12489958023177965
6,-9.88187551498413,3.252319878646512,0.055094462991706936,0.10797944439416797,0.14770473290019992
7,-9.89018315076828,3.239127575937247,0.05194871829152795,0.10594184277361263,0.14328697305419924
8,-9.89018628001213,3.239126859393241,0.05194930943831459,0.10594147342453299,0.1432860588068458
9,-9.890336036682129,3.241678297465234,0.05206106079656229,0.10570762650429785,0.14347059336339857
10,-9.890337973833084,3.2417249969921116,0.05207587115543775,0.10571313448887616,0.14348038112268138
11,-9.890340715646744,3.2417250212239437,0.052075877338672374,0.10571313292863677,0.1434803879482495
12,-9.89037424325943,3.2406521479569363,0.05212224913292177,0.10564314309699145,0.14363338165490308
13,-9.89037424325943,3.2406521479819173,0.052122249131978056,0.105643143099664,0.14363338165071687
