iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-6.216514021158218,0.8599666830587587,0.548881996036173,1.5044848890211693,0.8929866448182381,0.548881996036173,0.548881996036173,0.548881996036173,0.7131588848233589,0.548881996036173,0.548881996036173
2,-7.596956700086594,0.821649436177261,0.5953782962343869,1.2347731361507528,0.9115661711165992,0.634959371045185,0.45103912395084755,0.5236347669066406,0.7043244086459154,0.5209615997261696,0.5506255517235769
3,-8.699952483177185,0.8668792539409121,0.5680005601468255,1.2891533643375421,0.8892458229890757,0.6931198547095243,0.39887057762086015,0.5395074325041188,0.7131966066377023,0.5278150562633958,0.5424718943677829
4,-9.416442334651947,0.8270351999827679,0.5595634468900018,1.2042702852518787,0.8136461315380197,0.673960054685437,0.4378513152261043,0.5481155038674663,0.6697664164867867,0.5694120446515004,0.5426345144934968
5,-9.74485856294632,0.8384659231986292,0.5701221037610833,1.2947436621923654,0.8588806165735897,0.6625240284669465,0.44157184477019723,0.5308190463070925,0.651849103363505,0.5538965717230847,0.5416459234278433
6,-9.95306771993637,0.8406885818647022,0.5637538151936485,1.2805672561859305,0.852026476430633,0.6760376502675536,0.43022110396656,0.5405731396844778,0.6579176077994497,0.5523998158508178,0.5397397789893426
7,-9.964188188314438,0.8394722562935207,0.5620159812262939,1.2812739649885672,0.8504244362051521,0.676754315773435,0.4316664726606181,0.5442320310016646,0.6556560433592928,0.5537616051774031,0.5376738658141548
8,-9.97041654586792,0.8372490703229138,0.5606401789287391,1.2765101196070137,0.8484395574396351,0.6797007378675455,0.43124058358600426,0.5476028867248612,0.6517718932345423,0.5536855230569442,0.5351810154312259
9,-9.973834067583084,0.8375372186933946,0.5605023232042344,1.280099150610761,0.8532326004956127,0.6808959003877859,0.42999350010224835,0.5474224388280802,0.6511659484467949,0.5528473063780723,0.5331789411370229
10,-9.973854184150696,0.8375964398185328,0.5604223516812527,1.28064605142724,0.8535630129764826,0.6809063980446414,0.43006444190831766,0.5474523568975591,0.6510922223392688,0.552751013819754,0.5332105014182374
11,-9.973856627941132,0.8376022900021832,0.5604108316792867,1.2806913683149106,0.8536028529644045,0.6809251829059094,0.43005494257371335,0.5474649112306026,0.6510822448934459,0.5527369687851919,0.5331947612594432
12,-9.973882764577866,0.8375146309187442,0.560137209630967,1.2811096324203437,0.853986974203187,0.6811658704309194,0.4301433897780648,0.547866144543577,0.6507661909577961,0.5525240613607753,0.5329893552316793
13,-9.973882764577866,0.8375146309186167,0.5601372096301561,1.281109632422274,0.8539869742047688,0.6811658704315553,0.43014338977832617,0.5478661445446211,0.6507661909569603,0.5525240613602047,0.5329893552309604
