iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-11.942430805414915,0.5985004194290369,0.6080875630289009,0.6085365304061707,0.5985004194290369,0.6272363291813594,0.6421322057258446,0.6283941114932914,0.613123070428074
2,-12.577111229300499,0.6000774657612403,0.6296387537218872,0.6308710791810991,0.5777150137792528,0.6376347647351128,0.649686434240806,0.6422686789381826,0.6110083616982247
3,-13.129327565431595,0.6277023259131828,0.6680768526382683,0.6606963417880337,0.5304403510329694,0.642131233843382,0.6633885772692631,0.6659075262695665,0.5805146649535682
4,-13.20935207605362,0.6375200698238823,0.657175818064902,0.6534471014636072,0.5241151947297835,0.6412148029795948,0.6537130744674119,0.6786217082778333,0.5734919190433286
5,-13.230644553899765,0.6416623719153207,0.6564780053184911,0.6533700772595146,0.5228179265707353,0.6347173814930128,0.6553395738755388,0.6759076994026717,0.5709281197185634
6,-13.231080532073975,0.6429222639722851,0.6558489552677921,0.6531210440770664,0.5215894541707642,0.6331030279599436,0.6548938574247776,0.6764980701192644,0.5695607232347499
7,-13.233098238706589,0.6419485788572141,0.655380411770488,0.6523694171188402,0.5224655318735322,0.6307309087300017,0.6542824991518517,0.6771788769577556,0.5692847071916551
8,-13.233818218111992,0.6383898799871319,0.6541996142153209,0.6512474860641652,0.5247920651153385,0.6242362709811506,0.6546230226401942,0.6773359926866951,0.5696233393782948
9,-13.23394675552845,0.6376638453632194,0.6547233473412409,0.6514051374549952,0.5248931543748017,0.6227044953452368,0.6553006241753921,0.6782616391164158,0.5698296877042238
10,-13.237586915493011,0.6366500749305514,0.6558191593578934,0.6522042089791735,0.5237172253566632,0.6234468891068516,0.6561967173249862,0.680472471669685,0.5707032207517446
11,-13.237667232751846,0.6379279376515519,0.6575448570923507,0.6529731192604459,0.5210299456695251,0.6276453038273865,0.6554271917165243,0.6812335822290382,0.5730256869105619
12,-13.24059972167015,0.6373089381739349,0.6566555003121776,0.6517237433471411,0.5209890693966462,0.6253613791175441,0.6533662139988613,0.6808489740667335,0.5738889282653321
13,-13.240957200527191,0.6376241925950213,0.6560427005567401,0.6511246724275989,0.5211869989666469,0.6235123691139276,0.653336224280192,0.6802720682520709,0.5719311814224534
14,-13.240989357233047,0.6375470438170616,0.6559325174160671,0.6507948790427573,0.5211712723949995,0.6233208753439109,0.653240087832991,0.6799213110762148,0.5718594874344242
15,-13.242286831140518,0.6369487389725289,0.6559014661851531,0.64983082395073,0.520302008559135,0.6228412568515668,0.6528669908034532,0.6798895727242661,0.5726130903343432
16,-13.246845453977585,0.6330325074020575,0.6548563220676907,0.6435245601951314,0.5156651121549736,0.6174847973062213,0.6503857634138307,0.6795960808781305,0.5755450854305089
17,-13.248934924602509,0.6311786948440944,0.6553136867105234,0.6425080903021363,0.513164132077679,0.6156099043687403,0.6481038273663029,0.6795909129243507,0.576015205356909
18,-13.249007135629654,0.6311809406099254,0.6554746033103425,0.6422508779051596,0.5124111068651893,0.615689870311287,0.647833402345866,0.6795347126645385,0.575956843534422
19,-13.249252319335938,0.6309596522622561,0.6553829959673091,0.6419230844872721,0.5119332826333852,0.6154093440716168,0.6475275782176069,0.6794192090444305,0.5760992944422186
20,-13.251189589500427,0.6309780092562794,0.653975743582635,0.6405372944323926,0.5100781902470553,0.6128499108724327,0.646192372476693,0.6787650801823569,0.5766353218921251
21,-13.252016335725784,0.6306560727513256,0.6530726857034401,0.639219305859025,0.5088506181231199,0.610939562092191,0.6452626202153257,0.6783440420307586,0.5773056801971732
22,-13.252725392580032,0.6300681858273229,0.6529663605567091,0.6386751763163969,0.5079444823869911,0.6101158307832757,0.6448254684596896,0.6779822270528373,0.5777629334491726
23,-13.253062814474106,0.618419604459075,0.6533279488091902,0.632417514867346,0.4951661709398726,0.5989982852228242,0.6407250237000665,0.6701394425043743,0.5862130745625341
24,-13.2564777135849,0.6229199321218692,0.6510739704592391,0.6353183938908397,0.5004471919091533,0.6017691418717206,0.6428305816376018,0.6722466043717357,0.5833976526859641
25,-13.256498008966446,0.6244429459897025,0.6510662358413473,0.6362158425841683,0.5019865678412304,0.6032533821207886,0.6433300773205882,0.6730125662558395,0.5824546254352782
26,-13.256769448518753,0.6241025440356699,0.6496744664295719,0.635869625357554,0.5013558905020796,0.6016383584821153,0.6430145668908009,0.6721671720674581,0.5827423997315365
27,-13.256870090961456,0.6236608003855246,0.6489417687335253,0.6355064032444226,0.5007703304272173,0.600491653091114,0.6426595761594018,0.6717607597545903,0.5829698422226259
28,-13.257073163986206,0.6237502770501712,0.648767258411638,0.6358664012125659,0.5012012155802643,0.6007190749380819,0.6425608211730894,0.6719397324776957,0.5825151412466234
29,-13.257683008909225,0.6234535390025667,0.6485427134070064,0.6355505601834714,0.5004676798832297,0.599981094342141,0.6417576809752087,0.6714793291381914,0.5825334862086043
30,-13.258253663778305,0.6230543170271184,0.6481098424795744,0.635305559555837,0.49934415840012003,0.5989308885347052,0.6402328615053173,0.6707585176858204,0.5825661334890245
31,-13.258253663778305,0.6230543170271016,0.6481098424782203,0.6353055595556641,0.4993441583995442,0.5989308885336381,0.6402328615042131,0.6707585176854303,0.5825661334884816
