iter,energy,gamma[0],beta[0]
1,-14.9999982282119,0.0,0.0
2,-15.00092889683583,0.00012596839517989194,0.03859230006608318
3,-15.094879180192947,0.06197960857703724,0.03975463718136484
4,-15.702992111444473,0.154341145405638,0.11833166810051313
5,-15.848621398210526,0.18797061003472262,0.15059405666685194
6,-16.141753911972046,0.1777424629547051,0.16135624748243207
7,-16.579813063144684,0.1752828758393229,0.2196717221207555
8,-16.664083123207092,0.15925675721356244,0.22878738393527293
9,-16.711965262889862,0.14509923906214778,0.22095579753614794
10,-16.718411684036255,0.13628729849125804,0.21296809335913333
11,-16.71842122077942,0.1363119100472834,0.21296064098569556
12,-16.71842122077942,0.13631191003774393,0.21296064097271827
