iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
1,-6.582427494227886,0.5403865859602219,1.3062786422421124,0.5403865859602219,0.5403865859602219,0.5403865859602219,0.5403865859602219
2,-11.936008214950562,0.3397953859863765,3.6423389764921,0.43154030419446254,0.4483505901586544,0.43266661341637985,0.37802423935199225
3,-12.523525208234787,0.3198824594572006,3.7014109670686612,0.42239781588174174,0.4548405650225094,0.45293107252550563,0.3476087450212491
4,-14.67007514834404,0.2760280550798452,3.6153730378509548,0.40383909096538845,0.4867218174333277,0.533481812130068,0.2874154180181177
5,-15.422091037034988,0.24695751480054684,3.6067426241437657,0.4240279720286478,0.5063407489145749,0.4965462313714615,0.23683795641683061
6,-15.751501768827438,0.24588236671136607,3.587489960658108,0.42394202743284015,0.4896546327542899,0.4607149579250023,0.2422772604761503
7,-16.176640897989273,0.23366134377447834,3.552439835307701,0.4037829068829099,0.4561635976616731,0.4451782687851301,0.23973399154262365
8,-16.7205408513546,0.18206136420171581,3.5035712069934988,0.33146385110984156,0.411397622715801,0.4038341292266878,0.2138930968509108
9,-16.92127650976181,0.15873852772492375,3.4682960030574708,0.3188720126637463,0.40719430905081094,0.39299268190596454,0.18106354845863384
10,-16.96359345316887,0.12253698343918909,3.4216478263562267,0.27998479244637664,0.38900125866754265,0.36588543286249836,0.15049510330314936
11,-16.98224300146103,0.13447156915298952,3.4311356604445016,0.27567339694183407,0.40509990604923485,0.37177758145471623,0.16589668668352608
12,-16.986000776290894,0.13611674556753514,3.4377815053749097,0.2839958463171928,0.3998356336725204,0.3713423749145865,0.16682780943710876
13,-16.98600596189499,0.13611629973869133,3.4377814585596957,0.28399639706306096,0.3998353238668593,0.37134266295155854,0.1668282225795653
14,-16.98601070046425,0.1361031160685115,3.4377738618187794,0.2839988396577294,0.3998272904800988,0.3713448560206451,0.16683100298256714
15,-16.986034631729126,0.1346667567986107,3.436968070711263,0.2842661003699265,0.39895240098037876,0.3715209561015797,0.16708963233793
16,-16.986034631729126,0.13466675679785378,3.43696807071173,0.2842661003707931,0.39895240098006196,0.37152095610254027,0.167089632337477
