iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
0,-2.6942982375621796,0.6018315240740776,0.5822324365377426,0.611529229581356,0.597453436255455,0.6013064667582512,0.5849163889884949,0.6119614005088806,0.5946557357907295,0.6009709373116493,0.5878021031618118
1,-4.108532428741455,0.60468560308218,0.5617057889699936,0.6244352743029594,0.59278025329113,0.6042775496840477,0.5675693362951278,0.6255354046821594,0.5853389486670494,0.6041942819952965,0.5740002304315567
2,-5.338123917579651,0.6076922550797462,0.5419388473033905,0.6368527546525001,0.5866277426481247,0.6080908760428428,0.5511745125055313,0.6384282022714615,0.5737824574112892,0.608822999894619,0.5612218290567398
3,-6.025013446807861,0.6097597017884254,0.5270731508731842,0.6466172471642494,0.5804013520479202,0.6114302560687065,0.5392903596162796,0.6481586903333664,0.5630746319890022,0.6132975503802299,0.5519816190004349
4,-6.305472016334534,0.6107100382447243,0.5179419577121734,0.6531385913491249,0.5752823561429977,0.6136927589774132,0.5323991388082504,0.6542813688516617,0.5550680890679359,0.6166790708899498,0.5464550167322159
5,-6.407248139381409,0.6110251680016517,0.5127857536077499,0.6571740195155144,0.571610277891159,0.6150652006268501,0.5287668615579605,0.657857945561409,0.5497234001755714,0.6189406797289848,0.5433730840682983
6,-6.443580329418182,0.6110926851630211,0.5098890870809555,0.6596174523234367,0.5691722244024277,0.6158751979470253,0.5268578141927719,0.6599304139614105,0.5463299885392189,0.6203767791390419,0.5416508823633194
7,-6.456642955541611,0.611084221303463,0.5082281440496444,0.6610919222235679,0.5676187038421631,0.6163539722561836,0.5258203506469726,0.661144933104515,0.5442247524857521,0.6212668552994728,0.540667524933815
8,-6.461374998092651,0.6110626444220543,0.5072562754154205,0.6619818791747093,0.5666507840156555,0.6166389420628547,0.5252333790063858,0.6618648082017898,0.5429347738623619,0.6218125060200691,0.5400914013385772
9,-6.463104844093323,0.6110422894358635,0.5066811949014663,0.6625197365880012,0.5660549312829971,0.6168102458119392,0.5248950183391571,0.662296450138092,0.5421453699469566,0.6221451595425606,0.539750999212265
10,-6.4637400805950165,0.6110277161002159,0.5063375294208526,0.6628458932042122,0.5656911492347717,0.6169147327542305,0.5246941059827804,0.6625547021627426,0.5416659399867058,0.6223460122942924,0.5395504295825958
11,-6.463966429233551,0.6110186412930488,0.5061293005943298,0.6630423054099083,0.5654698967933655,0.616976349055767,0.52457515001297,0.6627107918262481,0.5413751885294914,0.6224675461649894,0.5394277185201645
12,-6.464052081108093,0.6110130533576011,0.5060035049915313,0.6631620660424232,0.5653335064649582,0.6170144066214561,0.5245037138462066,0.6628051161766052,0.5411985203623771,0.6225425586104393,0.5393515735864639
13,-6.464081436395645,0.6110090747475624,0.505927762389183,0.6632348135113716,0.5652518928050995,0.6170368328690529,0.5244618564844131,0.6628615170717239,0.5410911872982979,0.6225876495242119,0.5393072873353958
14,-6.46409273147583,0.6110079124569893,0.5058820605278015,0.6632791742682457,0.5652044326066971,0.6170504376292228,0.5244353324174881,0.6628963261842727,0.5410242661833763,0.6226149186491966,0.539279779791832
15,-6.464096426963806,0.6110065713524818,0.5058544933795929,0.6633039101958275,0.5651748090982437,0.617058752477169,0.5244201183319092,0.6629175752401352,0.5409863874316215,0.6226316675543785,0.5392633289098739
16,-6.464100927114487,0.6110051706433296,0.5058378338813782,0.6633207932114601,0.5651550948619842,0.6170636996626854,0.5244098663330078,0.662929168343544,0.5409628137946129,0.6226418152451515,0.5392538964748382
17,-6.464103490114212,0.6110051855444908,0.5058272242546081,0.6633299425244331,0.565143159031868,0.6170663520693779,0.5244008511304855,0.6629372894763946,0.5409472569823265,0.6226488038897514,0.5392480999231338
18,-6.464096158742905,0.6110046043992042,0.5058207273483276,0.6633373633027076,0.5651350975036621,0.6170687958598137,0.5243960678577423,0.6629424750804901,0.5409389421343803,0.6226525738835335,0.5392465502023697
19,-6.464099794626236,0.6110042914748192,0.5058174639940262,0.6633405819535255,0.5651314467191696,0.617069436609745,0.5243963360786438,0.6629448145627975,0.540934844315052,0.622654764354229,0.5392438530921936
20,-6.4641039073467255,0.6110035464167595,0.5058122932910919,0.663342772424221,0.5651289582252502,0.6170705243945122,0.5243956357240677,0.6629459470510483,0.5409321621060371,0.6226557627320289,0.5392421543598175
21,-6.464096546173096,0.6110032632946968,0.5058104902505874,0.6633457377552986,0.5651275426149368,0.6170707777142524,0.5243977963924408,0.6629468411207199,0.5409291222691536,0.6226570591330528,0.5392428994178772
22,-6.464107185602188,0.6110040232539177,0.5058088064193725,0.6633473768830299,0.565128555893898,0.6170714035630226,0.5243941009044647,0.6629472136497497,0.5409277960658073,0.6226577594876289,0.5392426162958145
23,-6.464096516370773,0.6110049173235893,0.505809223651886,0.6633482858538627,0.5651267677545547,0.6170702263712883,0.5243941754102707,0.662947005033493,0.5409268274903297,0.6226573422551155,0.5392409026622772
24,-6.4640971422195435,0.6110052302479744,0.505807077884674,0.6633477941155433,0.5651269912719726,0.6170702710747719,0.5243956506252289,0.6629464387893677,0.5409277513623237,0.6226581618189811,0.5392411559820175
25,-6.464096337556839,0.6110053345561027,0.505807614326477,0.6633481666445732,0.5651262015104294,0.6170695856213569,0.5243981391191482,0.6629466623067856,0.540927691757679,0.6226584002375603,0.5392412155866623
26,-6.46409547328949,0.6110047236084938,0.5058055132627487,0.663348077237606,0.5651253670454025,0.6170690342783928,0.5243975430727005,0.6629471093416214,0.5409271404147148,0.6226580873131752,0.5392403662204742
27,-6.46409946680069,0.6110045298933983,0.5058061987161636,0.6633473768830299,0.5651253670454025,0.6170694962143898,0.5243955165147781,0.6629464834928512,0.5409277811646461,0.6226573422551155,0.5392397999763489
28,-6.464095294475555,0.611005200445652,0.5058074802160263,0.6633484497666359,0.5651244282722473,0.6170702710747719,0.5243966490030288,0.6629467815160751,0.5409273192286491,0.622657461464405,0.5392411410808563
29,-6.4640953540802,0.6110061690211296,0.5058090299367904,0.6633497759699821,0.5651249647140503,0.6170704051852226,0.5243968725204468,0.662945693731308,0.5409276768565178,0.6226573869585991,0.5392405152320862
30,-6.464096814393997,0.6110062137246132,0.5058080017566681,0.6633505806326866,0.5651277810335159,0.6170709565281868,0.5243974536657333,0.6629462450742721,0.5409282878041267,0.6226567611098289,0.5392389208078384
31,-6.464094758033752,0.6110064521431923,0.5058085978031158,0.6633499249815941,0.5651264101266861,0.6170703753829002,0.5243980497121811,0.6629453212022781,0.5409286007285118,0.6226569101214409,0.5392410814762115
32,-6.4640969932079315,0.6110067054629326,0.505809611082077,0.6633496418595314,0.5651271998882293,0.6170691236853599,0.524397736787796,0.6629467815160751,0.5409280195832252,0.6226564034819603,0.5392426609992981
33,-6.464099586009979,0.6110058858990669,0.5058090448379516,0.6633506402373314,0.565128019452095,0.6170686617493629,0.5243967980146408,0.6629475563764572,0.5409282132983207,0.6226565971970558,0.5392400532960892
34,-6.464097201824188,0.6110060647130012,0.5058090150356293,0.6633515492081642,0.565128481388092,0.6170693770051002,0.524397125840187,0.6629474967718124,0.5409272000193596,0.62265615016222,0.5392393827438354
35,-6.464100688695908,0.6110062882304191,0.5058089703321457,0.663351996243,0.5651292115449905,0.6170695856213569,0.5243980050086975,0.6629477649927139,0.5409274086356163,0.6226560607552528,0.53923981487751
36,-6.464099138975143,0.6110067948698997,0.5058074951171875,0.6633512213826179,0.5651303440332412,0.6170697346329689,0.5243980944156647,0.6629485696554184,0.5409264102578163,0.6226567462086677,0.5392411708831787
37,-6.464099198579788,0.6110067203640938,0.5058088362216949,0.6633510574698448,0.565129941701889,0.6170695707201957,0.5243988841772079,0.6629482269287109,0.5409283772110939,0.6226579084992409,0.5392414540052414
38,-6.464096695184708,0.6110059455037117,0.5058093726634979,0.6633512511849403,0.5651286602020263,0.6170696750283241,0.5243977963924408,0.6629484802484512,0.5409277066588402,0.6226582959294319,0.539241886138916
39,-6.464100390672684,0.6110061392188072,0.5058074355125427,0.6633524879813194,0.5651271104812622,0.6170707479119301,0.5243956059217453,0.662948077917099,0.5409284070134163,0.6226575657725334,0.5392437636852264
40,-6.464096963405609,0.6110069289803505,0.5058068692684173,0.6633532181382179,0.5651275128126144,0.6170712396502495,0.5243965893983841,0.6629489421844482,0.5409282281994819,0.6226578041911125,0.5392416030168533
41,-6.46410009264946,0.6110069587826729,0.505808225274086,0.6633530989289284,0.5651256799697876,0.6170715674757957,0.5243971854448318,0.6629484206438064,0.5409281834959984,0.6226577445864677,0.5392420351505279
42,-6.464101076126099,0.6110072270035743,0.5058066308498382,0.6633537843823433,0.5651267528533935,0.6170714929699898,0.5243978857994079,0.6629481226205826,0.540929003059864,0.6226571634411812,0.5392432272434234
43,-6.464097559452057,0.6110072568058967,0.5058082401752472,0.6633540377020836,0.5651252925395965,0.6170710012316704,0.5243950098752975,0.6629484504461288,0.540928153693676,0.6226570889353752,0.5392440915107727
44,-6.464102864265442,0.6110077336430549,0.5058063924312591,0.6633536651730537,0.5651283472776413,0.6170714035630226,0.5243945777416229,0.6629479438066482,0.5409288093447685,0.6226573124527931,0.5392449110746383
45,-6.46410059928894,0.6110067799687385,0.5058062881231308,0.663354842364788,0.5651290625333786,0.617070822417736,0.5243963956832886,0.6629479587078094,0.5409283921122551,0.6226577445864677,0.5392452389001846
46,-6.464097321033478,0.6110072270035743,0.505806228518486,0.6633548572659492,0.5651300758123398,0.6170701667666435,0.5243990629911423,0.6629477351903915,0.5409291371703148,0.6226582214236259,0.5392468482255935
47,-6.464095562696457,0.6110070332884788,0.5058057069778442,0.6633552148938179,0.5651302397251129,0.6170711502432823,0.5243965893983841,0.6629481226205826,0.5409294798970222,0.6226592496037483,0.5392470121383667
48,-6.464103788137436,0.611006124317646,0.5058038592338562,0.6633568093180656,0.5651297032833099,0.6170713886618614,0.524396738409996,0.662947541475296,0.5409285858273506,0.6226592496037483,0.5392475336790085
49,-6.464095443487167,0.6110052898526191,0.505804306268692,0.6633566305041313,0.5651274383068084,0.6170717015862465,0.5243978410959244,0.6629469007253647,0.5409283325076103,0.6226591750979423,0.5392487555742264
