iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
0,-2.450840726494789,0.6030602216720581,0.5958756417036056,0.5986363835632801,0.5847871176898479,0.6106724500656128,0.6012683123350143,0.6034349896013737,0.5958030842244625,0.5937930479645729,0.5870433658361435
1,-3.2666508555412292,0.606531547755003,0.5907335452735424,0.5971546865999698,0.5683252424001694,0.6230536386370659,0.6004131607711315,0.6085427910089493,0.5895115792751312,0.5894278794527054,0.5722387567162514
2,-4.272058695554733,0.6103003792464733,0.5846179373562336,0.5960060156881809,0.550454331934452,0.6371285825967788,0.5972008131444454,0.6154095888137817,0.581617271900177,0.5871385842561722,0.5558446928858757
3,-5.399500772356987,0.6140337906777859,0.5780396036803722,0.5955320097506046,0.5314720779657364,0.6524559989571571,0.5915096648037433,0.6236730277538299,0.573523885011673,0.5867155253887176,0.5385473951697349
4,-6.498692095279694,0.6171929113566875,0.5719340391457081,0.5958512894809246,0.5123063012957573,0.6680295675992965,0.583557153493166,0.6324714332818985,0.5671498835086822,0.5875041916966438,0.5214804619550705
5,-7.438532501459122,0.6193289928138256,0.5670865572988987,0.5968652985990047,0.494142709672451,0.6826602876186371,0.5740812368690967,0.6407996028661728,0.563613361120224,0.5888122007250786,0.5057946503162384
6,-8.167052507400513,0.6203354321420192,0.5636317677795887,0.5982993118464947,0.47790072709321973,0.6955339521169662,0.5641505666077137,0.648015147447586,0.5624047726392746,0.5903256073594093,0.492182320356369
7,-8.68986052274704,0.6203896723687649,0.5613096006214618,0.5998071901500225,0.46406027525663374,0.7063606888055801,0.5547201134264469,0.6539081990718841,0.5622038155794143,0.5920549318194389,0.4808585703372955
8,-9.04419881105423,0.6197891555726528,0.5598122425377369,0.6011193268001079,0.45264163464307783,0.7152013689279556,0.5463894702494144,0.658489441871643,0.5619968682527542,0.5940601512789726,0.47172237038612364
9,-9.277684330940247,0.6188397131860256,0.5588775523006916,0.6021061711013317,0.44331967681646345,0.7222924143075943,0.5393905438482761,0.661861902475357,0.5614117294549942,0.5963242039084434,0.46448892951011655
10,-9.431503653526306,0.6177853666245937,0.5583156295120716,0.6027408711612224,0.435651122033596,0.7279242485761642,0.533690283447504,0.6642008483409881,0.560444912314415,0.5987637028098106,0.4588062524795532
11,-9.535082161426544,0.6167768560349941,0.5579934813082218,0.6030193589627743,0.42922130078077314,0.7323841363191604,0.5291126169264316,0.6657163560390472,0.5592304825782776,0.6012887045741081,0.4543545007705688
12,-9.607305526733398,0.615893142670393,0.5578253366053104,0.6029664002358913,0.42371021062135694,0.7359115540981293,0.5254484809935093,0.6666203945875168,0.5578858911991119,0.6038182213902473,0.4508506715297699
13,-9.659817636013031,0.6151577107608318,0.557752663642168,0.6026187263429165,0.4188972398638725,0.7387184411287308,0.5224972613155842,0.6670862048864364,0.5564963281154632,0.6063076391816139,0.4480913937091827
14,-9.699708372354507,0.6145657174289226,0.557743052393198,0.6020288936793804,0.41461476534605024,0.7409665644168854,0.5200977124273777,0.6672434419393539,0.5551201313734054,0.6087267234921455,0.4459021598100662
15,-9.731242328882217,0.614101218432188,0.5577774293720722,0.601253467053175,0.4107522204518318,0.7427866816520691,0.518117705732584,0.6671875327825546,0.5537836015224457,0.6110549256205559,0.4441626578569412
16,-9.757048457860947,0.613745691627264,0.5578343369066715,0.6003284029662609,0.40722758919000623,0.7442818492650985,0.516462305933237,0.6669928789138794,0.5525082558393478,0.6132898762822151,0.4427673727273941
17,-9.778748393058777,0.6134781412780285,0.557913089543581,0.5993033967912197,0.4039761558175087,0.7455298811197281,0.5150576330721378,0.6667034834623337,0.5512996822595596,0.6154249146580696,0.44164775907993314
18,-9.797411769628525,0.6132814906537533,0.5579952098429203,0.5982114695012569,0.40095859616994856,0.7465915441513061,0.513846556097269,0.6663582533597946,0.5501540511846542,0.6174651220440864,0.4407495468854904
19,-9.81367552280426,0.6131391398608684,0.5580831117928028,0.5970799498260021,0.39814299196004865,0.7475097388029098,0.5127896912395954,0.6659805983304977,0.549079155921936,0.6194106772542,0.44002599120140073
20,-9.827998161315918,0.613040941208601,0.5581655897200107,0.5959323070943355,0.39550416022539137,0.7483195573091507,0.5118549115955829,0.665585657954216,0.5480699747800827,0.6212636664509773,0.43944927155971525
21,-9.840734392404556,0.6129779689013958,0.5582444168627262,0.594788821786642,0.3930217161774635,0.7490445584058761,0.5110134877264499,0.6651880800724029,0.5471224546432495,0.6230281874537468,0.43899709582328794
22,-9.85212516784668,0.6129431001842022,0.5583131708204746,0.5936578385531902,0.39068139940500257,0.7497056484222412,0.5102496095001697,0.6647963881492615,0.5462263733148575,0.6247121378779411,0.4386374711990356
23,-9.862370133399963,0.612930016964674,0.558372849971056,0.592554273456335,0.38846359997987745,0.7503230333328247,0.5095564074814319,0.6644146502017975,0.5453839957714081,0.6263167545199394,0.4383589535951614
24,-9.87159088253975,0.6129362754523754,0.55842220261693,0.5914760403335094,0.3863627895712852,0.7508963406085968,0.5089159853756428,0.6640533417463302,0.5445910155773163,0.6278449431061744,0.4381463885307312
25,-9.879942238330841,0.6129587762057781,0.5584588594734669,0.590435104817152,0.38436478227376936,0.7514380127191543,0.5083254672586918,0.6637106746435165,0.5438377171754837,0.6293022617697716,0.4379872143268585
26,-9.88747501373291,0.6129924081265926,0.5584885574877262,0.5894296787679195,0.38246613591909406,0.7519562304019928,0.5077722318470478,0.6633919537067413,0.5431252777576446,0.6306918397545814,0.43788102865219114
27,-9.894325584173203,0.6130341313779354,0.5585016407072544,0.5884681664407253,0.38066236525774,0.7524519175291061,0.5072526283562183,0.6630929917097091,0.5424469769001007,0.632019279897213,0.4378111571073532
28,-9.900562167167664,0.6130825899541378,0.5585029371082783,0.587545620650053,0.3789403423666954,0.7529302299022674,0.506767088919878,0.6628173798322677,0.5418034553527832,0.633287726342678,0.4377721607685089
29,-9.906242102384567,0.6131415091454983,0.5584923423826694,0.5866602383553982,0.37729753404855726,0.7533905118703842,0.5063039161264896,0.6625662058591842,0.5411922842264175,0.63449896723032,0.4377667665481567
30,-9.9114451110363,0.6132072232663631,0.5584707804024219,0.5858133606612682,0.3757259830832481,0.7538349837064743,0.5058692790567875,0.6623350888490677,0.5406071454286575,0.6356533452868461,0.43778411149978635
31,-9.916172116994858,0.6132763348519802,0.5584387131035328,0.5850050918757915,0.37422080188989637,0.7542669385671615,0.5054588116705417,0.6621263533830642,0.5400488883256912,0.6367556437849998,0.4378230333328247
32,-9.920497447252274,0.6133515261113643,0.5583962894976139,0.5842362515628338,0.3727851942181587,0.7546814739704132,0.5050671346485615,0.6619417428970337,0.5395157098770141,0.6378106161952019,0.43788658678531645
33,-9.924464136362076,0.6134328864514828,0.5583464004099369,0.5834995530545711,0.37140907198190687,0.7550825834274292,0.5046915806829929,0.6617797821760177,0.5390036463737488,0.6388188585639,0.43795773983001707
34,-9.928089261054993,0.6135179124772548,0.5582897163927555,0.5828008376061916,0.37009051293134687,0.7554731279611587,0.5043364860117435,0.6616325736045837,0.5385160803794861,0.6397840216755867,0.4380410224199295
35,-9.931443363428116,0.6136050544679165,0.5582245983183384,0.58213617131114,0.3688236907124519,0.7558545976877212,0.5039930291473865,0.6615044832229614,0.5380486756563186,0.6407077297568321,0.4381325453519821
36,-9.934524118900299,0.6136966072022915,0.5581546820700168,0.5815029911696911,0.36761185377836225,0.7562223732471466,0.5036712236702442,0.6613936632871628,0.5375999718904495,0.6415935143828392,0.4382329940795898
37,-9.937368422746658,0.6137876383960247,0.5580791927874088,0.5809000752866268,0.36644370704889295,0.7565787196159363,0.5033586420118809,0.6613003224134445,0.5371707439422607,0.6424410179257393,0.43835086226463316
38,-9.939965635538101,0.6138823203742504,0.5580028392374515,0.58032371327281,0.365323095023632,0.7569222062826156,0.503065163642168,0.6612217932939529,0.5367523640394211,0.6432522222399711,0.43846642076969145
