iter,energy,gamma[0],beta[0]
0,-2.308039264753461,0.5878299860283732,0.5874834893271327
1,-2.695103045552969,0.5744763411581516,0.5737025778740644
2,-3.1669259034097195,0.5597673788666725,0.558480522967875
3,-3.745673395693302,0.543499680608511,0.5416228989139199
4,-4.4586500227451324,0.5254412818700075,0.5229305135086179
5,-5.338021919131279,0.5053362142294645,0.5022110579535365
6,-6.417762525379658,0.4829210605472326,0.4793305782601237
7,-7.7255628407001495,0.45797504521906374,0.4542953347787261
8,-9.268536299467087,0.4303935844451189,0.4273341571912169
9,-11.01060003042221,0.40032323487102983,0.39905230458825824
10,-12.854247778654099,0.36832279749214647,0.37049917634576557
11,-14.64608433842659,0.3354904729872942,0.34308381136506794
12,-16.22593292593956,0.3032918948680162,0.31825840231031177
13,-17.488104850053787,0.2732808519154787,0.2970475828275084
14,-18.41255360841751,0.2466624457389116,0.2797723388299346
15,-19.044796109199524,0.2240266282111406,0.2661841636523604
16,-19.457675397396088,0.2053792256861925,0.25562721248716114
17,-19.718771189451218,0.1903667081147432,0.2474890178069472
18,-19.880898147821426,0.17846006937324999,0.24118393417447803
19,-19.98080664873123,0.16910945661365984,0.23621894177049396
20,-20.04195800423622,0.1618008095771074,0.2323074912652373
21,-20.07928767800331,0.1561284143477678,0.22918979581445453
22,-20.102143436670303,0.15172558315098283,0.2266903644427657
23,-20.116203874349594,0.1483043361455202,0.22468350585550068
24,-20.12487718462944,0.14564887471497057,0.22305379565805195
25,-20.13020685315132,0.14358868487179277,0.22172246631234882
26,-20.133491456508636,0.14198171384632585,0.2206626212224364
27,-20.135530203580856,0.14075370915234087,0.21980654951184986
28,-20.13680136203766,0.13978041000664232,0.21911650653928516
29,-20.137663394212723,0.13902158327400682,0.21855076905339954
30,-20.13812157511711,0.1384306330233812,0.21807622667402027
31,-20.13845792412758,0.13797334618866441,0.2177024161443114
32,-20.1386835873127,0.13761713393032549,0.21738353129476307
33,-20.138773500919342,0.13733314760029314,0.21714040394872425
34,-20.13886821269989,0.1370937157422304,0.21693353112787006
35,-20.13894036412239,0.13691522963345049,0.21679082270711658
36,-20.13897007703781,0.13676130063831804,0.21667383369058368
37,-20.1390121281147,0.13665802069008348,0.2165490811690688
38,-20.139004111289978,0.1365855861455202,0.21647558864206073
39,-20.13900989294052,0.13652031905949114,0.2164061641320586
40,-20.139026761054993,0.13644979186356065,0.21636318918317554
41,-20.138997822999954,0.13641347773373125,0.2162954634055495
42,-20.139036655426025,0.1363946724683046,0.21627931054681537
43,-20.139046490192413,0.13636631555855272,0.21626382824033497
44,-20.13901275396347,0.13633953817188738,0.2162431454285979
45,-20.139026641845703,0.13632289357483385,0.21621487792581318
46,-20.139024764299393,0.13630890138447282,0.21615800019353626
47,-20.139031261205673,0.13629315085709093,0.21613202746957538
48,-20.13907018303871,0.13628494031727312,0.21612263973802326
49,-20.13902622461319,0.13627211041748521,0.2161164855584502
50,-20.13905993103981,0.13624561615288255,0.2161298071965575
