iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
0,-3.940144866704941,0.5910522252321243,0.5901473484933376,0.6091279335319996,0.6042401887476444,0.595341956615448,0.5963029772043228,0.5884468056261539,0.585827088356018
1,-4.663351535797119,0.5817077405750751,0.5797871820628643,0.6187711827456951,0.607498886436224,0.5909283928573131,0.5931651055812835,0.5762567095458507,0.5704632423818111
2,-5.4177101328969,0.5719325415790081,0.5694220572710037,0.628319638222456,0.6096525326371193,0.5869697354733944,0.5904717691242695,0.5636641480028629,0.5539793878793716
3,-6.168948747217655,0.5616851396858692,0.5596563801169395,0.6369522646069526,0.6106640309095382,0.5836379587650299,0.5880371019244194,0.5509994573891163,0.536554454267025
4,-6.892033450305462,0.5509135074913502,0.5510454051196575,0.6438649281859398,0.6106110498309135,0.5810028821229934,0.5856523796916008,0.5386189877986908,0.5184206053614616
5,-7.581678092479706,0.5395426101982593,0.5439514093101024,0.648470739275217,0.6096509046852588,0.5790073707699775,0.5831606224179268,0.526823765039444,0.49980773627758024
6,-8.250792995095253,0.5274816028773784,0.5384698197245598,0.6505483895540237,0.6079700425267219,0.5774853102862835,0.5804879873991012,0.51578184440732,0.4808777928352356
7,-8.918740101158619,0.5146525003015995,0.5344760738313198,0.6501891039311886,0.6057236030697822,0.5762195609509945,0.5776256158947944,0.5055747091770172,0.4617412261664867
8,-9.60326325148344,0.5009901843965053,0.5317007698118686,0.6476614683866501,0.6030434802174568,0.5750049524009228,0.5745859950780868,0.4961944319307804,0.4424454405903816
9,-10.314625725150108,0.4864588774740696,0.5298279955983162,0.6433142781257629,0.6000211670994758,0.5736657552421093,0.5713702835142612,0.4876167796552181,0.4230529241263866
10,-11.05467039346695,0.47107518687844274,0.5285484217107296,0.6374803096055984,0.5967327043414116,0.5720825590193271,0.5679433219134807,0.4798052296042442,0.40368431285023687
11,-11.8179931640625,0.4549263663589954,0.527599985152483,0.6304650068283081,0.593228480219841,0.5701821692287922,0.5642343781888485,0.47275197729468343,0.3844763658940792
12,-12.59207484126091,0.4381652645766735,0.5267600663006305,0.6225447043776512,0.589543005824089,0.5679367579519748,0.560135105997324,0.46640791222453115,0.3656706683337688
13,-13.360145911574364,0.4210410140454769,0.5258558340370655,0.61395034044981,0.585662892460823,0.5653749875724315,0.5555554948747158,0.4607347272336483,0.3475061751902103
14,-14.101739376783371,0.4038741014897823,0.5247529692947864,0.6048953294754028,0.5815731421113014,0.5625561125576496,0.5504240714013576,0.455668980628252,0.33029512539505956
15,-14.798731982707977,0.38703552111983297,0.5232985116541385,0.5955618381500244,0.5772080406546592,0.5595239199697971,0.5447492621839046,0.4511232919991016,0.3142658568918705
16,-15.43626493215561,0.37089997753500936,0.5214295335114002,0.58607437312603,0.5725400283932686,0.5563118852674961,0.53861148878932,0.4469416983425617,0.29967364147305486
17,-16.006551325321198,0.3557900957763195,0.5190939255058765,0.5765472412109375,0.5675845876336097,0.5529120959341526,0.5321567229926586,0.4429997898638248,0.28663350120186804
18,-16.50899976491928,0.3419186197221279,0.516292954236269,0.5670587331056595,0.562378554046154,0.5493092335760593,0.5256031773984432,0.43914889767765997,0.27518356814980505
19,-16.947824954986572,0.3293974421918392,0.5130947180092335,0.5576807171106338,0.5569902047514915,0.5454700388014316,0.5191613011062145,0.43528727665543554,0.26524407640099523
20,-17.33097830414772,0.3182255797088146,0.5096021987497806,0.5484541565179825,0.5514929428696632,0.5413838721811771,0.5129280261695385,0.43136673644185064,0.25669939294457433
21,-17.666109561920166,0.3083219401538372,0.505915830284357,0.5394545257091522,0.5460083469748497,0.5370761848986149,0.50699028596282,0.42740615680813787,0.24935593679547308
22,-17.960542798042297,0.2995366774499416,0.5021580852568149,0.5307469427585602,0.5405750259757042,0.5325933046638965,0.50140226110816,0.4234156109392643,0.24303401485085485
23,-18.220048040151596,0.29174398109316824,0.49841646328568456,0.5223679155111313,0.53528101593256,0.5279985763132572,0.4961256258189678,0.41946318224072454,0.23754040375351904
24,-18.449267506599426,0.2847631148993969,0.4947797156870365,0.514367750287056,0.5301878586411476,0.5233386404812336,0.4911917470395565,0.4155819363892078,0.23270725682377813
25,-18.651774257421494,0.2784913949668407,0.49126664772629736,0.5067804962396621,0.5253027811646461,0.5186767227947712,0.48655557855963705,0.411804536730051,0.22843309715390203
26,-18.830692172050476,0.27278159782290456,0.48793731108307836,0.4996275663375854,0.5206896647810936,0.5140761084854603,0.48219757005572317,0.4081306256353855,0.224602023512125
27,-18.988622218370438,0.267569812387228,0.4848162479698658,0.49289060235023496,0.5163281694054603,0.5095662720501423,0.47808914110064504,0.40458923056721685,0.22115189805626867
28,-19.128051698207855,0.2627596281468868,0.4818756230175495,0.4865840882062912,0.5122739359736442,0.5052007831633091,0.4742156885564327,0.4011567927896976,0.21800468340516088
29,-19.251161694526672,0.2583067141473293,0.4791253753006458,0.4806725889444351,0.5084748104214668,0.5009721167385578,0.47060483917593954,0.3978592850267887,0.2150824911892414
30,-19.359804719686508,0.2541682444512844,0.4765672333538532,0.4751440495252609,0.5049520120024681,0.49691268280148504,0.46717807874083517,0.39471294954419134,0.21238181963562963
31,-19.456159710884094,0.25029480680823324,0.47417613342404363,0.4699778616428375,0.5016373232007026,0.49303155615925787,0.46398197337985037,0.391680384427309,0.20986386612057684
32,-19.541587471961975,0.24664163812994955,0.4719533272087574,0.4651274889707565,0.4985745832324028,0.4893390633165836,0.46095451936125753,0.3887679226696491,0.2075032092630863
33,-19.617373555898666,0.24321732148528097,0.4698933012783527,0.4605835437774658,0.4957429900765419,0.48581486418843267,0.45810665413737295,0.38594755008816717,0.2052858121693134
34,-19.68493291735649,0.2399961821734905,0.467940966039896,0.45632140934467313,0.49307302981615064,0.48245316222310064,0.4554170839488506,0.3832681573927402,0.20321370139718054
35,-19.74521118402481,0.2369681470096111,0.4661071546375751,0.45229766368865965,0.49058556407690046,0.4792676068842411,0.4528933338820934,0.3806977368891239,0.20124601796269415
36,-19.79929280281067,0.23409429416060445,0.46442688480019567,0.44849390387535093,0.48825506716966627,0.476223374158144,0.45049885138869283,0.3782200165092945,0.1994092710316181
37,-19.84776121377945,0.23138116523623464,0.46283125355839727,0.44490728378295896,0.4860795274376869,0.4733125068247318,0.4482278101146221,0.3758497782051563,0.1976501740515232
