iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
0,-18.02400181442499,0.5883622154593467,0.6079839415848255,0.6013924092054367,0.6155559256672859,0.6074916332960129,0.6199607480317354,0.6068686231970787,0.6147671848535537,0.6014838688075542,0.6092929564416408,0.5650026652961969,0.6084747932851314
1,-18.938440062105656,0.5868855886161327,0.606364207714796,0.6088905617594719,0.6182988792657852,0.6211064964532852,0.6221220254898071,0.6196274407207966,0.6178412832319736,0.6088190007954836,0.6144338198006153,0.540810963511467,0.606685709580779
2,-19.427170917391777,0.5889962002635002,0.6036816522479057,0.6135596469044685,0.6220705345273018,0.6256984159350395,0.6280233547091484,0.6239157229661941,0.6219679735600948,0.613039031997323,0.6209805928170681,0.5220284596085548,0.602834664657712
3,-19.70618985593319,0.5924101755023002,0.5995687007904053,0.617987035214901,0.6232681781053543,0.629884897172451,0.6293340981006622,0.6278767049312591,0.6234912075102329,0.6167106185108423,0.6263985730707645,0.5091842696070671,0.5976207185536623
4,-19.862694576382637,0.5949012696743011,0.5963985234498977,0.6207106620073318,0.6247672125697136,0.6313905104994774,0.6314588919281959,0.6292639434337616,0.6253153331577778,0.6184787753969431,0.6318927876651287,0.49955241978168485,0.5934790898114443
5,-19.94787922501564,0.5967353045940399,0.5935217127203941,0.6230333879590034,0.6250819846987724,0.6330538898706436,0.6318735986948013,0.6308247953653335,0.6259868539869785,0.6197903979569673,0.6362918563187122,0.4930930122733116,0.5898528698831796
6,-19.993952065706253,0.5976803660392761,0.5914734214544296,0.6244838520884514,0.62547437697649,0.6337054878473282,0.6327218547463417,0.6313993990421295,0.6268001742660999,0.6202448610216379,0.6401836596429348,0.48847044110298155,0.5871774334460497
7,-20.018934354186058,0.5982017874717712,0.5897254258394241,0.6256800055503845,0.6253868699073791,0.6344540476799011,0.6328113436698913,0.6321122854948044,0.6271382816135883,0.6205397997051477,0.6431602038443088,0.485466493666172,0.584951863065362
8,-20.03279508650303,0.5982857629656791,0.5884770587086677,0.626438295841217,0.6253748074173927,0.6347386077046394,0.6331482514739036,0.6323540344834327,0.6275767482817173,0.6205127466470003,0.6456172190606594,0.48337012380361555,0.5832711908966303
9,-20.040612310171127,0.5981996342539787,0.587436443567276,0.6270612463355064,0.6251491591334343,0.6350790619850158,0.6331539213657379,0.6326799675822258,0.6278049893677234,0.6204829219728708,0.6474472530186176,0.48203968107700346,0.5818625170737505
10,-20.045142322778702,0.5979383870959282,0.5866712093353271,0.6274487361311912,0.6249968394637108,0.6351828336715698,0.6332976579666137,0.6327902808785438,0.6280908681452274,0.6203323308378458,0.6489147640764713,0.4811030387878418,0.5807474482804537
11,-20.047965466976166,0.5976448193192482,0.5860309362411499,0.6277455672621727,0.6247507765889168,0.6353265404701233,0.6332291424274444,0.6329475924372673,0.6282410569489002,0.6202211383730173,0.6499923415482044,0.48052037358283994,0.5797923434525728
